# English-Esperanto translations created from the Universal dictionary at 2011-05-28T05:41:05-06:00
# (c) Copyright 2011 by All free dictionaries project
# ALL FREE DICTIONARIES PROJECT DISCLAIMS ALL
# WARRANTIES WITH REGARD TO THESE TRANSLATIONS, INCLUDING ALL
# IMPLIED WARRANTIES OF MERCHANTABILITY AND FITNESS. IN NO
# EVENT SHALL ALL FREE DICTIONARIES PROJECT OR ANY OF ITS CONTRIBUTORS
# BE LIABLE FOR ANY SPECIAL, INDIRECT OR CONSEQUENTIAL DAMAGES
# OR ANY DAMAGES WHATSOEVER RESULTING FROM LOSS OF USE, DATA OR
# PROFITS, WHETHER IN AN ACTION OF CONTRACT, NEGLIGENCE
# OR OTHER ACTION, ARISING OUT OF OR IN CONNECTION
# WITH THE USE OR PERFORMANCE OF THESE TRANSLATIONS.
#
# In other words there may be incorrect translations.
# If you need to be sure never use these translations!
#
# French, German and Czech entries are added manually. The entries for
# remaining languages are added automatically. Entries for these languages
# are only experimental.
#
# You may not place this file on WWW, ftp and equivalent servers because
# this file gets outdated very quickly. You may not distribute this file
# with your dictionary applications without permission. You can contact
# authors of the Universal dictionary at: http://dicts.info/contact.php
#
# This file is for personal use only. You may not distribute this file.
#
# New version of this file can be created at: http://www.dicts.info/uddl.php
#

 April ; Apr 	 aprilo 	 time 
 Czech Republic 	 Ĉeĥio 	 country 
 December ; Dec 	 decembro 	 time 
 Earth ; earth ; world ; globe 	 Tero 	 nature 
 English ; English language 	 Angla lingvo 	 language 
 February ; Feb 	 februaro 	 time 
 France ; French Republic 	 Francio 	 country 
 Friday ; Fri 	 vendredo 	 time 
 German ; High German ; German language 	 Germana lingvo 	 linguistics 
 Germany ; Federal Republic of Germany ; Deutschland ; FRG 	 Germanio 	 country 
 India ; Republic of India ; Bharat 	 Hindio 	 country 
 Italy ; Italian Republic ; Italia 	 Italio 	 country 
 January ; Jan 	 januaro 	 time 
 Japan ; Nippon ; Nihon 	 Japanio 	 country 
 July 	 julio 	 time 
 June 	 junio 	 time 
 Monday ; Mon 	 lundo 	 time 
 Moon ; moon 	 luno 	 nature 
 November ; Nov 	 novembro 	 time 
 October ; Oct 	 oktobro 	 time 
 Saturday ; Sabbatum ; Sat 	 sabato 	 time 
 Spain ; Kingdom of Spain ; Espana 	 Hispanujo 	 country 
 Sunday ; Lord's Day ; Dominicus ; Sun 	 dimancxo 	 time 
 Thursday ; Th 	 jxauxdo 	 time 
 United Kingdom ; UK ; U.K. ; Britain ; United Kingdom of Great Britain and Northern Ireland ; Great Britain 	 Britio 	 country 
 United States ; United States of America ; America ; the States ; US ; U.S. ; USA ; U.S.A. 	 Usono 	 country 
 Wednesday ; Midweek ; Wed 	 merkredo 	 time 
 ability ; power 	 povo 	 abstract 
 able 	 kapabla 	 adjective 
 about ; almost ; most ; nearly ; near ; nigh ; virtually ; well-nigh 	 preskaux 	 adverb 
 about ; around 	 cxirkaux 	 adverb 
 above ; higher up ; in a higher place ; to a higher place 	 super 	 adverb 
 abrupt ; precipitous ; sharp 	 abrupta 	 adjective 
 accept ; take ; have 	 akcepti 	 verb 
 accident 	 akcidento 	 transport 
 account ; business relationship 	 kalkulo 	 business 
 achieve ; accomplish ; attain ; reach 	 atingi 	 verb 
 acid 	 acido 	 material 
 acme ; height ; elevation ; peak ; pinnacle ; summit ; superlative ; meridian ; tiptop ; top 	 supro 	 abstract 
 act ; deed ; human action ; human activity 	 ago 	 abstract 
 act ; move 	 agi 	 verb 
 action 	 ago 	 mathematics 
 action 	 faro 	 mathematics 
 action ; activity ; activeness 	 ago 	 mathematics 
 actor ; histrion ; player ; thespian ; role player 	 aktoro 	 profession 
 actress 	 aktorino 	 profession 
 actually ; really 	 vere 	 adverb 
 acuate ; acute ; sharp ; needlelike 	 akra 	 adjective 
 ad ; advertisement ; advertizement ; advertising ; advertizing ; advert 	 reklamo 	 business 
 add ; add together 	 aldoni 	 verb 
 addition ; add-on ; improver 	 aldono 	 abstract 
 address 	 adreso 	 abstract 
 adept ; expert ; good ; practiced ; proficient ; skillful ; skilful 	 lerta 	 adjective 
 adjacent ; next ; side by side 	 apuda 	 adjective 
 adjective 	 adjektivo 	 linguistics 
 admit ; acknowledge 	 koncedi 	 verb 
 advantage ; reward 	 utilo 	 abstract 
 advantage ; vantage 	 avantagxo 	 abstract 
 advice 	 konsilo 	 communication 
 after 	 post 	 adjective 
 afternoon 	 posttagmezo 	 time 
 again ; once again ; once more ; over again 	 ree 	 adverb 
 against 	 kontraux 	 preposition 
 age 	 aĝo 	 time 
 agree ; hold ; concur ; concord 	 konsenti 	 verb 
 agreement ; understanding 	 interkonsento 	 business 
 ahead ; in front ; before 	 antaux 	 adverb 
 aid ; assist ; assistance ; help 	 helpo 	 communication 
 air 	 aero 	 nature 
 airheaded ; dizzy ; empty-headed ; featherbrained ; giddy ; light-headed ; lightheaded ; silly 	 stulta 	 adjective 
 airplane ; aeroplane ; plane 	 aeroplano 	 object 
 airport ; airdrome ; aerodrome ; drome 	 aerodromo 	 city 
 alive ; live 	 vivanta 	 adjective 
 all 	 cxio 	 adjective 
 alone ; lone ; lonely ; solitary 	 sola 	 adjective 
 along 	 laux 	 adverb 
 already 	 jam 	 adverb 
 altitude ; height 	 alteco 	 abstract 
 always ; ever ; e'er 	 ĉiam 	 adverb 
 among ; amongst ; amid ; amidst 	 inter 	 preposition 
 amount 	 nombro 	 abstract 
 and 	 kaj 	 conjunction 
 angle 	 angulo 	 mathematics 
 animal ; animate being ; beast ; brute ; creature ; fauna 	 animala 	 nature 
 announce ; denote 	 anonci 	 verb 
 announcement ; proclamation ; annunciation ; declaration 	 proklamo 	 communication 
 another ; some other 	 alia 	 adjective 
 answer ; reply ; respond 	 respondi 	 verb 
 answer ; reply ; response 	 respondo 	 communication 
 ant ; emmet ; pismire 	 formiko 	 animal 
 anteroom ; antechamber ; entrance hall ; hall ; foyer ; lobby ; vestibule 	 antauxcxambro 	 house 
 any ; whatever ; whatsoever 	 ajna 	 adjective 
 apartment ; flat 	 apartamento 	 society 
 apparel ; wearing apparel ; dress ; clothes 	 kostumo 	 clothes 
 apple 	 pomo 	 food 
 approximately ; about ; close to ; just about ; some ; roughly ; more or less ; around ; or so 	 proksimume 	 adverb 
 area ; expanse ; surface area 	 spaco 	 mathematics 
 argue ; contend ; debate ; fence 	 disputi 	 verb 
 argue ; reason 	 argumenti 	 verb 
 argument ; statement 	 argumento 	 communication 
 arm 	 brako 	 anatomy 
 army ; regular army ; ground forces 	 armeo 	 society 
 arrangement ; organization ; organisation ; system 	 organizado 	 society 
 arrive ; make it ; get in ; go far 	 alveni 	 verb 
 art ; fine art 	 arto 	 art 
 artist ; creative person 	 artisto 	 profession 
 ask ; inquire ; enquire 	 peti 	 verb 
 aspect 	 aspekto 	 abstract 
 assail ; assault ; set on ; attack 	 ataki 	 verb 
 astute ; sharp ; shrewd 	 sagaca 	 adjective 
 at 	 al 	 preposition 
 attack ; onslaught ; onset ; onrush 	 atako 	 abstract 
 attempt ; effort ; endeavor ; endeavour ; try 	 peno 	 abstract 
 attention ; attending 	 atento 	 communication 
 audio ; sound 	 sono 	 abstract 
 aureate ; gilded ; gilt ; gold ; golden 	 ora 	 color 
 authority ; authorization ; authorisation ; potency ; dominance ; say-so 	 aŭtoritato 	 society 
 automatic 	 aŭtomata 	 adjective 
 available 	 havebla 	 adjective 
 avoid 	 eviti 	 verb 
 awake 	 maldorma 	 adjective 
 baby ; babe ; infant 	 infaneto 	 family 
 back ; dorsum 	 dorso 	 anatomy 
 bad 	 malbona 	 adjective 
 bag 	 saketo 	 object 
