# English-French translations created from the Universal dictionary at 2011-05-28T05:42:42-06:00
# (c) Copyright 2011 by All free dictionaries project
# ALL FREE DICTIONARIES PROJECT DISCLAIMS ALL
# WARRANTIES WITH REGARD TO THESE TRANSLATIONS, INCLUDING ALL
# IMPLIED WARRANTIES OF MERCHANTABILITY AND FITNESS. IN NO
# EVENT SHALL ALL FREE DICTIONARIES PROJECT OR ANY OF ITS CONTRIBUTORS
# BE LIABLE FOR ANY SPECIAL, INDIRECT OR CONSEQUENTIAL DAMAGES
# OR ANY DAMAGES WHATSOEVER RESULTING FROM LOSS OF USE, DATA OR
# PROFITS, WHETHER IN AN ACTION OF CONTRACT, NEGLIGENCE
# OR OTHER ACTION, ARISING OUT OF OR IN CONNECTION
# WITH THE USE OR PERFORMANCE OF THESE TRANSLATIONS.
#
# In other words there may be incorrect translations.
# If you need to be sure never use these translations!
#
# French, German and Czech entries are added manually. The entries for
# remaining languages are added automatically. Entries for these languages
# are only experimental.
#
# You may not place this file on WWW, ftp and equivalent servers because
# this file gets outdated very quickly. You may not distribute this file
# with your dictionary applications without permission. You can contact
# authors of the Universal dictionary at: http://dicts.info/contact.php
#
# This file is for personal use only. You may not distribute this file.
#
# New version of this file can be created at: http://www.dicts.info/uddl.php
#

 April ; Apr 	 avril 	 time 
 China ; People's Republic of China ; mainland China ; Communist China ; Red China ; PRC ; Cathay 	 Chine 	 country 
 Chinese 	 chinois 	 language 
 Czech Republic 	 République tchèque 	 country 
 December ; Dec 	 décembre 	 time 
 Earth ; earth ; world ; globe 	 Terre 	 nature 
 English ; English language 	 anglais 	 language 
 February ; Feb 	 février 	 time 
 France ; French Republic 	 République française 	 country 
 French 	 français 	 language 
 Friday ; Fri 	 vendredi 	 time 
 German ; High German ; German language 	 allemand 	 linguistics 
 Germany ; Federal Republic of Germany ; Deutschland ; FRG 	 République fédérale d'Allemagne 	 country 
 Hindi 	 hindi 	 language 
 India ; Republic of India ; Bharat 	 République de l'Inde 	 country 
 Italian 	 italien 	 language 
 Italy ; Italian Republic ; Italia 	 Italie 	 country 
 January ; Jan 	 janvier 	 time 
 Japan ; Nippon ; Nihon 	 Japon 	 country 
 Japanese 	 japonais 	 language 
 July 	 juillet 	 time 
 June 	 juin 	 time 
 Monday ; Mon 	 lundi 	 time 
 Moon ; moon 	 lune 	 nature 
 November ; Nov 	 novembre 	 time 
 October ; Oct 	 octobre 	 time 
 Russian 	 russe 	 language 
 Saturday ; Sabbatum ; Sat 	 samedi 	 time 
 Spain ; Kingdom of Spain ; Espana 	 Royaume d'Espagne 	 country 
 Spanish 	 espagnol 	 language 
 Sunday ; Lord's Day ; Dominicus ; Sun 	 dimanche 	 time 
 Thursday ; Th 	 jeudi 	 time 
 United Kingdom ; UK ; U.K. ; Britain ; United Kingdom of Great Britain and Northern Ireland ; Great Britain 	 Britain 	 country 
 United States ; United States of America ; America ; the States ; US ; U.S. ; USA ; U.S.A. 	 États-Unis 	 country 
 Wednesday ; Midweek ; Wed 	 mercredi 	 time 
 ability ; power 	 capacité 	 abstract 
 able 	 capable 	 adjective 
 about ; almost ; most ; nearly ; near ; nigh ; virtually ; well-nigh 	 presque 	 adverb 
 about ; around 	 autour 	 adverb 
 above ; higher up ; in a higher place ; to a higher place 	 dessus 	 adverb 
 abrupt ; precipitous ; sharp 	 escarpé 	 adjective 
 accept ; take ; have 	 accepter 	 verb 
 accident 	 accident 	 transport 
 account ; business relationship 	 compte 	 business 
 achieve ; accomplish ; attain ; reach 	 réaliser 	 verb 
 acid 	 acide 	 material 
 acme ; height ; elevation ; peak ; pinnacle ; summit ; superlative ; meridian ; tiptop ; top 	 sommet 	 abstract 
 act ; deed ; human action ; human activity 	 acte 	 abstract 
 act ; move 	 agir 	 verb 
 action 	 action 	 mathematics 
 action 	 action 	 mathematics 
 action ; activity ; activeness 	 activité 	 mathematics 
 actor ; histrion ; player ; thespian ; role player 	 comédien 	 profession 
 actress 	 actrice 	 profession 
 actually ; really 	 réellement 	 adverb 
 acuate ; acute ; sharp ; needlelike 	 aiguisé 	 adjective 
 ad ; advertisement ; advertizement ; advertising ; advertizing ; advert 	 annonce 	 business 
 add 	 joindre 	 verb 
 add ; add together 	 additionner 	 verb 
 addition ; add-on ; improver 	 composant additionnel 	 abstract 
 address 	 adresse 	 abstract 
 adept ; expert ; good ; practiced ; proficient ; skillful ; skilful 	 expert 	 adjective 
 adjacent ; next ; side by side 	 adjacent 	 adjective 
 adjective 	 adjectif 	 linguistics 
 admit ; acknowledge 	 accepter 	 verb 
 advantage ; reward 	 profit 	 abstract 
 advantage ; vantage 	 avantage 	 abstract 
 advice 	 conseil 	 communication 
 affect ; impact ; bear upon ; bear on ; touch on ; touch 	 affecter 	 verb 
