#This is a list of words to be translated from American to British English. CASE does NOT matter!
#Need only include base words, so that -s, -ing and -ed etc are also transcribed. Where ambiguity arises, multiple instances may be specified. For example analysis never has a z!
#use * for one way only. That is words with * will not be changed, but may be used from other word in the other direction
ass arse
mold *mould
shivaree *charivari
#devise device
filet *fillet
#jimmy jemmy
#mom mum
#toward towards 
advise advice
aerie eyrie
airplane aeroplane
aluminum aliminium
ameba amoeba
analyze analyse
anemia anaemia
anesthesia anaesthesia
arbor arbour
armor armour
behavior behaviour
behoove behove
boogeyman bogeyman
brant brent
caliber calibre
carburetor carburettor
catalyze catalyse
center centre
cesium caesium
check cheque
chile chilli
coupe coupé
cozy cosy
*curb kerb
defense defence
defense offence
diarrhea diarrhoea
donut doughnut
*draft draught
encyclopedia encyclopaedia
esophagus oesophagus
estrogen oestrogen
feces faeces
fetal foetal
fiber fibre
flavor flavour
furor furore
goiter goitre
gray grey
grody grotty
gynecology gynaecology
harbor harbour
hauler haulier
hemophilia haemophilia
honor honour
humor humour
hydrolyze hydrolyse
labor labour
leukemia leukaemia
license licence
licorice liquorice
liter litre
luster lustre
meter #metre
miter mitre
mollusk mollusc
mustache moustache
naïveté naïvety
neighbor neighbour
niter nitre
organize organise
orthopedic orthopaedic
pajamas pyjamas
paleonthology palaeonthology
paralyze paralyse
pediatric paediatric
persnickety pernickety
phony phoney
plow plough
practise practice
pretense pretence
quint quin
realize realise
recoganize recoganise
reconnoiter reconnoitre
rumor rumour
saber sabre
saltpeter saltpetre
scalawag scallywag
smolder smoulder
somber sombre
specialty speciality
specter spectre
theater theatre
tidbit titbit
titer titre
yogurt yoghurt
#
#EOF
