# Esperanto-English translations created from the Universal dictionary at 2011-05-28T05:46:47-06:00
# (c) Copyright 2011 by All free dictionaries project
# ALL FREE DICTIONARIES PROJECT DISCLAIMS ALL
# WARRANTIES WITH REGARD TO THESE TRANSLATIONS, INCLUDING ALL
# IMPLIED WARRANTIES OF MERCHANTABILITY AND FITNESS. IN NO
# EVENT SHALL ALL FREE DICTIONARIES PROJECT OR ANY OF ITS CONTRIBUTORS
# BE LIABLE FOR ANY SPECIAL, INDIRECT OR CONSEQUENTIAL DAMAGES
# OR ANY DAMAGES WHATSOEVER RESULTING FROM LOSS OF USE, DATA OR
# PROFITS, WHETHER IN AN ACTION OF CONTRACT, NEGLIGENCE
# OR OTHER ACTION, ARISING OUT OF OR IN CONNECTION
# WITH THE USE OR PERFORMANCE OF THESE TRANSLATIONS.
#
# In other words there may be incorrect translations.
# If you need to be sure never use these translations!
#
# French, German and Czech entries are added manually. The entries for
# remaining languages are added automatically. Entries for these languages
# are only experimental.
#
# You may not place this file on WWW, ftp and equivalent servers because
# this file gets outdated very quickly. You may not distribute this file
# with your dictionary applications without permission. You can contact
# authors of the Universal dictionary at: http://dicts.info/contact.php
#
# This file is for personal use only. You may not distribute this file.
#
# New version of this file can be created at: http://www.dicts.info/uddl.php
#

 Angla lingvo 	 English ; English language 	 language 
 Britio 	 United Kingdom ; UK ; U.K. ; Britain ; United Kingdom of Great Britain and Northern Ireland ; Great Britain 	 country 
 Francio 	 France ; French Republic 	 country 
 Germana lingvo 	 German ; High German ; German language 	 linguistics 
 Germanio 	 Germany ; Federal Republic of Germany ; Deutschland ; FRG 	 country 
 Hindio 	 India ; Republic of India ; Bharat 	 country 
 Hispanujo 	 Spain ; Kingdom of Spain ; Espana 	 country 
 Italio 	 Italy ; Italian Republic ; Italia 	 country 
 Japanio 	 Japan ; Nippon ; Nihon 	 country 
 Tero 	 Earth ; earth ; world ; globe 	 nature 
 Usono 	 United States ; United States of America ; America ; the States ; US ; U.S. ; USA ; U.S.A. 	 country 
 abelo 	 bee 	 animal 
 abrupta 	 abrupt ; precipitous ; sharp 	 adjective 
 acido 	 acid 	 material 
 adicio 	 summation ; addition ; plus 	 mathematics 
 adjektivo 	 adjective 	 linguistics 
 administri 	 manage ; deal ; care ; handle 	 verb 
 adreso 	 address 	 abstract 
 aero 	 air 	 nature 
 aerodromo 	 airport ; airdrome ; aerodrome ; drome 	 city 
 aeroplano 	 airplane ; aeroplane ; plane 	 object 
 afabla 	 kind 	 adjective 
 afranko 	 postage ; postage stamp ; stamp 	 object 
 agi 	 act ; move 	 verb 
 ago 	 act ; deed ; human action ; human activity 	 abstract 
 ago 	 action 	 mathematics 
 ago 	 action ; activity ; activeness 	 mathematics 
 ajna 	 any ; whatever ; whatsoever 	 adjective 
 ajxo 	 thing 	 object 
 akcepti 	 accept ; take ; have 	 verb 
 akcidento 	 accident 	 transport 
 akcio 	 share 	 business 
 akiri 	 get ; acquire 	 verb 
 akiri 	 obtain 	 verb 
 akra 	 acuate ; acute ; sharp ; needlelike 	 adjective 
 aktorino 	 actress 	 profession 
 aktoro 	 actor ; histrion ; player ; thespian ; role player 	 profession 
 akuzi 	 charge ; accuse 	 verb 
 akuzo 	 charge ; complaint 	 society 
 akvo 	 water ; H2O 	 material 
 al 	 at 	 preposition 
 al 	 to 	 preposition 
 aldoni 	 add ; add together 	 verb 
 aldono 	 addition ; add-on ; improver 	 abstract 
 alia 	 another ; some other 	 adjective 
 alia 	 different 	 adjective 
 alia 	 other 	 adjective 
 alporti 	 bring ; convey ; take 	 verb 
 alta 	 tall 	 adjective 
 alteco 	 altitude ; height 	 abstract 
 alternativo 	 option ; alternative ; choice 	 abstract 
 alumeto 	 match ; lucifer ; friction match 	 object 
 alveni 	 arrive ; make it ; get in ; go far 	 verb 
 alvoki 	 call ; telephone ; call up ; phone ; ring 	 verb 
 amara 	 bitter 	 adjective 
 ambaux 	 both 	 adjective 
 ami 	 love 	 verb 
 amika 	 friendly 	 adjective 
 amiko 	 friend 	 family 
 amisto 	 boyfriend ; fellow ; beau ; swain ; young man 	 family 
 amo 	 love 	 relations 
 amplekso 	 scope ; range ; reach ; orbit ; compass ; ambit 	 abstract 
 angulo 	 angle 	 mathematics 
 animala 	 animal ; animate being ; beast ; brute ; creature ; fauna 	 nature 
 ankaŭ 	 besides ; too ; also ; likewise ; as well 	 adverb 
 ankoraux 	 still 	 adverb 
 anonci 	 announce ; denote 	 verb 
 anso 	 handle ; grip ; handgrip ; hold 	 object 
 antaux 	 ahead ; in front ; before 	 adverb 
 antaux 	 earlier ; before 	 adverb 
 antauxa 	 front 	 adjective 
 antauxajxo 	 front ; front end ; forepart 	 abstract 
 antauxcxambro 	 anteroom ; antechamber ; entrance hall ; hall ; foyer ; lobby ; vestibule 	 house 
 antauxen 	 forward ; forwards ; frontward ; frontwards ; forrad ; forrard 	 adverb 
 aparato 	 machine 	 device 
 aparta 	 separate 	 adjective 
 apartamento 	 apartment ; flat 	 society 
 apogo 	 support 	 abstract 
 aprilo 	 April ; Apr 	 time 
 aprobo 	 blessing ; approval ; approving 	 communication 
 apud 	 beside 	 preposition 
 apuda 	 adjacent ; next ; side by side 	 adjective 
 arbaro 	 forest ; wood ; woods 	 nature 
 arbo 	 tree 	 house 
 argumenti 	 argue ; reason 	 verb 
 argumento 	 argument ; statement 	 communication 
 armeo 	 army ; regular army ; ground forces 	 society 
 armeo 	 military ; armed forces ; armed services ; military machine ; war machine 	 society 
 artisto 	 artist ; creative person 	 profession 
 arto 	 art ; fine art 	 art 
 arĝento 	 silver ; Ag ; atomic number 47 	 material 
 ascendo 	 rise ; rising ; ascent ; ascension 	 abstract 
 asekuro 	 insurance 	 business 
 aserto 	 statement 	 communication 
 aspekti 	 look ; appear ; seem 	 verb 
 aspekto 	 aspect 	 abstract 
 astro 	 star 	 nature 
 ataki 	 assail ; assault ; set on ; attack 	 verb 
 atako 	 attack ; onslaught ; onset ; onrush 	 abstract 
 atendi 	 expect ; look ; await ; wait 	 verb 
 atenti 	 heed ; mind ; listen 	 verb 
 atento 	 attention ; attending 	 communication 
 atingi 	 achieve ; accomplish ; attain ; reach 	 verb 
