# Esperanto-French translations created from the Universal dictionary at 2011-05-28T05:47:00-06:00
# (c) Copyright 2011 by All free dictionaries project
# ALL FREE DICTIONARIES PROJECT DISCLAIMS ALL
# WARRANTIES WITH REGARD TO THESE TRANSLATIONS, INCLUDING ALL
# IMPLIED WARRANTIES OF MERCHANTABILITY AND FITNESS. IN NO
# EVENT SHALL ALL FREE DICTIONARIES PROJECT OR ANY OF ITS CONTRIBUTORS
# BE LIABLE FOR ANY SPECIAL, INDIRECT OR CONSEQUENTIAL DAMAGES
# OR ANY DAMAGES WHATSOEVER RESULTING FROM LOSS OF USE, DATA OR
# PROFITS, WHETHER IN AN ACTION OF CONTRACT, NEGLIGENCE
# OR OTHER ACTION, ARISING OUT OF OR IN CONNECTION
# WITH THE USE OR PERFORMANCE OF THESE TRANSLATIONS.
#
# In other words there may be incorrect translations.
# If you need to be sure never use these translations!
#
# French, German and Czech entries are added manually. The entries for
# remaining languages are added automatically. Entries for these languages
# are only experimental.
#
# You may not place this file on WWW, ftp and equivalent servers because
# this file gets outdated very quickly. You may not distribute this file
# with your dictionary applications without permission. You can contact
# authors of the Universal dictionary at: http://dicts.info/contact.php
#
# This file is for personal use only. You may not distribute this file.
#
# New version of this file can be created at: http://www.dicts.info/uddl.php
#

 Angla lingvo 	 anglais 	 language 
 Britio 	 Britain 	 country 
 Francio 	 République française 	 country 
 Germana lingvo 	 allemand 	 linguistics 
 Germanio 	 République fédérale d'Allemagne 	 country 
 Hindio 	 République de l'Inde 	 country 
 Hispanujo 	 Royaume d'Espagne 	 country 
 Italio 	 Italie 	 country 
 Japanio 	 Japon 	 country 
 Tero 	 Terre 	 nature 
 Usono 	 États-Unis 	 country 
 abelo 	 abeille 	 animal 
 abrupta 	 escarpé 	 adjective 
 acido 	 acide 	 material 
 adicio 	 addition 	 mathematics 
 adjektivo 	 adjectif 	 linguistics 
 administri 	 administrer 	 verb 
 adreso 	 adresse 	 abstract 
 aero 	 air 	 nature 
 aerodromo 	 aérodrome 	 city 
 aeroplano 	 avion 	 object 
 afabla 	 gentil 	 adjective 
 afranko 	 port 	 object 
 agi 	 agir 	 verb 
 ago 	 acte 	 abstract 
 ago 	 action 	 mathematics 
 ago 	 activité 	 mathematics 
 ajna 	 facultatif 	 adjective 
 ajxo 	 chose 	 object 
 akcepti 	 accepter 	 verb 
 akcidento 	 accident 	 transport 
 akcio 	 action 	 business 
 akiri 	 attraper 	 verb 
 akiri 	 obtenir 	 verb 
 akra 	 aiguisé 	 adjective 
 aktorino 	 actrice 	 profession 
 aktoro 	 comédien 	 profession 
 akuzi 	 accuser 	 verb 
 akuzo 	 accusation 	 society 
 akvo 	 eau 	 material 
 al 	 contre 	 preposition 
 al 	 vers 	 preposition 
 aldoni 	 additionner 	 verb 
 aldono 	 composant additionnel 	 abstract 
 alia 	 autre 	 adjective 
 alia 	 autre 	 adjective 
 alporti 	 apporter 	 verb 
 alta 	 grand 	 adjective 
 alteco 	 hauteur 	 abstract 
 alternativo 	 alternative 	 abstract 
 alumeto 	 allumette 	 object 
 alveni 	 arriver 	 verb 
 alvoki 	 téléphoner 	 verb 
 amara 	 amer 	 adjective 
 ambaux 	 l'un et l'autre 	 adjective 
 ami 	 aimer 	 verb 
 amika 	 amical 	 adjective 
 amiko 	 copain 	 family 
 amisto 	 amant 	 family 
 amo 	 passion 	 relations 
 amplekso 	 zone 	 abstract 
 angulo 	 angle 	 mathematics 
 animala 	 animal 	 nature 
 ankaŭ 	 aussi 	 adverb 
 ankoraux 	 encore 	 adverb 
 anonci 	 annoncer 	 verb 
 anso 	 oreille 	 object 
 antaux 	 avant 	 adverb 
 antaux 	 devant 	 adverb 
 antauxa 	 premier 	 adjective 
 antauxajxo 	 avant 	 abstract 
 antauxcxambro 	 entrée 	 house 
 antauxen 	 avant 	 adverb 
 aparato 	 machine 	 device 
 aparta 	 séparée 	 adjective 
 apartamento 	 appartement 	 society 
 apogo 	 appui 	 abstract 
 aprilo 	 avril 	 time 
 aprobo 	 approbation 	 communication 
 apuda 	 adjacent 	 adjective 
 arbaro 	 forêt 	 nature 
 arbo 	 arbre 	 house 
 argumenti 	 plaider 	 verb 
 argumento 	 argument 	 communication 
 armeo 	 armée 	 society 
 armeo 	 armée 	 society 
 artisto 	 artiste 	 profession 
 arto 	 art 	 art 
 arĝento 	 argent 	 material 
 ascendo 	 ascension 	 abstract 
 asekuro 	 assurance 	 business 
 aserto 	 déclaration 	 communication 
 aspekti 	 paraître 	 verb 
 aspekto 	 aspect 	 abstract 
 astro 	 étoile 	 nature 
 ataki 	 attaquer 	 verb 
 atako 	 attaque 	 abstract 
 atendi 	 attendre 	 verb 
 atenti 	 attention 	 verb 
 atento 	 attention 	 communication 
 atingi 	 réaliser 	 verb 
 atributo 	 caractéristique 	 abstract 
 auxdi 	 entendre 	 verb 
 avantagxo 	 avantage 	 abstract 
 aĉeti 	 acheter 	 verb 
 aĝo 	 âge 	 time 
 aĵo 	 occupation 	 abstract 
 aŭ 	 ou 	 conjunction 
 aŭdi 	 ausculter 	 verb 
 aŭstrala 	 austral 	 adjective 
 aŭtobuso 	 autocar 	 transport 
 aŭtomata 	 automatique 	 adjective 
 aŭtomobilo 	 automobile 	 transport 
 aŭtoritato 	 autorité 	 society 
 aŭtuno 	 automne 	 nature 
 bagatela 	 petit 	 adjective 
 baldaux 	 bientôt 	 adverb 
 bancxambro 	 salle de bains 	 house 
 banko 	 banque 	 city 
 bano 	 bain 	 house 
 barbara 	 barbare 	 adjective 
 basbalo 	 base-ball 	 sports 
 bastono 	 bâton 	 object 
 bastono 	 personnel 	 society 
 batalado 	 lutte 	 abstract 
 batali 	 lutter 	 verb 
 bato 	 coup 	 abstract 
 baza 	 fondamental 	 adjective 
 bazaro 	 marché 	 business 
 bazo 	 base 	 mathematics 
 bazo 	 base 	 society 
 beko 	 bec 	 anatomy 
 bela 	 beau 	 adjective 
 beleta 	 gentil 	 adjective 
 bezono 	 besoin 	 abstract 
 biblioteko 	 bibliothèque 	 city 
 biciklo 	 bicyclette 	 object 
 biero 	 bière 	 food 
 bildo 	 image 	 art 
 bildo 	 image 	 art 
 bileto 	 billet 	 object 
 biologio 	 biologie 	 science 
 birdo 	 oiseau 	 animal 
 blanka 	 blanc 	 adjective 
 blua 	 bleu 	 color 
 boato 	 bateau 	 object 
 bobeni 	 enrouler 	 verb 
 bobeno 	 rouleau 	 object 
 boltingo 	 écrou 	 object 
 bona 	 bon 	 adjective 
 bona 	 bon 	 adjective 
 bone 	 bien 	 adverb 
 bonega 	 excellent 	 adjective 
 bonŝanca 	 chanceux 	 adjective 
 bordo 	 rive 	 nature 
 botelo 	 bouteille 	 food 
 boto 	 botte 	 clothes 
 bovino 	 vache 	 animal 
 brako 	 bras 	 anatomy 
 brancxo 	 branche 	 nature 
 bretaro 	 clayette 	 house 
 briko 	 brique 	 house 
 broso 	 brosse 	 object 
 bruna 	 marron 	 color 
 bruo 	 bruit 	 society 
 bruska 	 brusque 	 adjective 
 brusto 	 poitrine 	 anatomy 
 brusto 	 poitrine 	 anatomy 
 butero 	 beurre 	 food 
 butono 	 bouton 	 object 
 buŝo 	 bouche 	 anatomy 
 celo 	 destination 	 abstract 
 cent 	 cent 	 number 
 centra 	 central 	 adjective 
 centro 	 centre 	 mathematics 
 centro 	 milieu 	 mathematics 
 cerbo 	 cerveau 	 anatomy 
 certa 	 certain 	 adjective 
 certe 	 assurément 	 adverb 
 cirkla 	 rond 	 adjective 
 cxar 	 car 	 conjunction 
 cxefo 	 chef 	 society 
 cxeko 	 chèque 	 business 
 cxelo 	 cellule 	 society 
 cxevalo 	 cheval 	 animal 
 cxielo 	 ciel 	 nature 
 cxio 	 tout 	 adjective 
 cxio 	 tout 	 pronoun 
 cxirkaux 	 autour 	 adverb 
 cxirkauxajxo 	 alentours 	 nature 
 cxiu 	 chacun 	 adjective 
 cxiu 	 chacun 	 adjective 
 cxu 	 si 	 conjunction 
 damagxi 	 blesser 	 verb 
 damagxo 	 sinistre 	 transport 
 danci 	 danser 	 verb 
 danki 	 remercier 	 verb 
 danĝera 	 dangereux 	 adjective 
 danĝero 	 danger 	 abstract 
 dato 	 date 	 time 
 datumoj 	 données 	 communication 
 dauxrigi 	 continuer 	 verb 
 de 	 de 	 preposition 
 decembro 	 décembre 	 time 
 decidi 	 décider 	 verb 
 decido 	 décision 	 communication 
 defendo 	 défense 	 abstract 
 defii 	 affronter 	 verb 
 dek 	 dix 	 number 
 dekdua 	 douzième 	 number 
 deklivo 	 pente 	 mathematics 
 dekoro 	 ornement 	 object 
 dekstra 	 droit 	 adjective 
 delikata 	 délicat 	 adjective 
 demando 	 question 	 linguistics 
 dento 	 dent 	 anatomy 
 depago 	 prix 	 business 
 desegni 	 dessiner 	 verb 
 desegno 	 modèle 	 object 
 detalo 	 détail 	 logistics 
 detruo 	 destruction 	 abstract 
 devio 	 écart 	 mathematics 
 devo 	 devoir 	 abstract 
 deziri 	 désirer 	 verb 
 deziro 	 souhait 	 abstract 
 difekti 	 endommager 	 verb 
 diferenca 	 différent 	 adjective 
 diferenco 	 différence 	 abstract 
 dika 	 gros 	 adjective 
 dika 	 épais 	 adjective 
 dikfingro 	 pouce 	 anatomy 
 dimancxo 	 dimanche 	 time 
 direkto 	 direction 	 mathematics 
 direktoro 	 directeur 	 profession 
 diri 	 dire 	 verb 
 disciplino 	 discipline 	 linguistics 
 diskuti 	 discuter 	 verb 
 diskuto 	 argument 	 communication 
 dispremi 	 écraser 	 verb 
 disputi 	 se disputer 	 verb 
 disputo 	 discussion 	 mathematics 
 distanco 	 distance 	 mathematics 
 distraĵo 	 divertissement 	 art 
 diversa 	 divers 	 adjective 
 diverseco 	 diversité 	 art 
 divido 	 partage 	 mathematics 
 divizio 	 secteur 	 mathematics 
 do 	 donc 	 adverb 
 doktoro 	 docteur 	 profession 
 dolcxa 	 sucré 	 adjective 
 doloro 	 douleur 	 medicine 
 dolĉeco 	 douceur 	 food 
 domo 	 immeuble 	 city 
 domo 	 maison 	 house 
 domo 	 maison 	 house 
 donaco 	 présent 	 object 
 doni 	 donner 	 verb 
 dormado 	 sommeil 	 nature 
 dormcxambro 	 chambre à coucher 	 house 
 dorso 	 dos 	 anatomy 
 drato 	 fil 	 object 
 dua 	 deuxième 	 adjective 
 dubi 	 douter 	 verb 
 dubo 	 doute 	 communication 
 dudek 	 vingt 	 number 
 dum 	 pendant 	 preposition 
 duono 	 moitié 	 mathematics 
 duŝo 	 douche 	 house 
 ebena 	 égal 	 adjective 
 ebenejo 	 plaine 	 nature 
 eble 	 peut-être 	 adverb 
 ecx 	 voire 	 adverb 
 edukado 	 éducation 	 society 
 eduki 	 élever 	 verb 
 edzeco 	 mariage 	 society 
 edzigxi 	 épouser 	 verb 
 edzinigxinta 	 marié 	 adjective 
 edzino 	 femme 	 family 
 edzo 	 mari 	 family 
 efektiva 	 vrai 	 adjective 
 egala 	 égal 	 adjective 
 ekde 	 depuis 	 preposition 
 eklezio 	 église 	 city 
 ekonomia 	 économe 	 adjective 
 ekonomia 	 économique 	 adjective 
 ekonomio 	 économie 	 business 
 ekspliki 	 expliquer 	 verb 
 eksplodo 	 salve 	 abstract 
 ekster 	 dehors 	 adverb 
 eksterajxo 	 extérieur 	 mathematics 
 eksterlanda 	 étranger 	 adjective 
 ekvilibro 	 équilibre 	 physics 
 ekzameno 	 examen 	 communication 
 ekzemplo 	 exemple 	 communication 
 ekzerci 	 exercer 	 verb 
 ekzistado 	 existence 	 society 
 ekzisti 	 exister 	 verb 
 elcento 	 pourcentage 	 mathematics 
 elefanto 	 éléphant 	 animal 
 eleganta 	 élégant 	 adjective 
 elekti 	 choisir 	 verb 
 elekto 	 triage 	 abstract 
 elekto 	 élection 	 mathematics 
 elektra 	 électrique 	 adjective 
 elemento 	 élément 	 mathematics 
 elpreni 	 supprimer 	 verb 
 elŝeligi 	 peler 	 verb 
 emigi 	 pousser 	 verb 
 en 	 dans 	 adverb 
 en 	 dans 	 preposition 
 ene 	 à 	 adverb 
 energio 	 énergie 	 nature 
 enhavi 	 rétention 	 verb 
 eniri 	 entrer 	 verb 
 enspezo 	 revenu 	 business 
 envolvi 	 envelopper 	 verb 
 epoko 	 période 	 time 
 epoko 	 âge 	 time 
 erara 	 faux 	 adjective 
 eraro 	 erreur 	 communication 
 esenco 	 essence 	 abstract 
 esperi 	 espérer 	 verb 
 esplorado 	 investigation 	 abstract 
 esploro 	 recherche 	 abstract 
 esprimi 	 formuler 	 verb 
 estinta 	 ancien 	 adjective 
 estonteco 	 futur 	 time 
 estro 	 chef 	 society 
 eta 	 minuscule 	 adjective 
 eta 	 modeste 	 adjective 
 etagxo 	 étage 	 house 
 evento 	 événement 	 abstract 
 eventuala 	 possible 	 adjective 
 evidente 	 manifestement 	 adverb 
 eviti 	 éviter 	 verb 
 evolucii 	 développer 	 verb 
 evoluo 	 évolution 	 nature 
 eĝo 	 bord 	 mathematics 
 fabriki 	 produire 	 verb 
 fabriko 	 usine 	 city 
 fabriko 	 usine 	 city 
 facila 	 facile 	 adjective 
 fakto 	 fait 	 abstract 
 fakturo 	 facture 	 business 
