# Esperanto-German translations created from the Universal dictionary at 2011-08-27T09:41:46-06:00
# (c) Copyright 2011 by All free dictionaries project
# ALL FREE DICTIONARIES PROJECT DISCLAIMS ALL
# WARRANTIES WITH REGARD TO THESE TRANSLATIONS, INCLUDING ALL
# IMPLIED WARRANTIES OF MERCHANTABILITY AND FITNESS. IN NO
# EVENT SHALL ALL FREE DICTIONARIES PROJECT OR ANY OF ITS CONTRIBUTORS
# BE LIABLE FOR ANY SPECIAL, INDIRECT OR CONSEQUENTIAL DAMAGES
# OR ANY DAMAGES WHATSOEVER RESULTING FROM LOSS OF USE, DATA OR
# PROFITS, WHETHER IN AN ACTION OF CONTRACT, NEGLIGENCE
# OR OTHER ACTION, ARISING OUT OF OR IN CONNECTION
# WITH THE USE OR PERFORMANCE OF THESE TRANSLATIONS.
#
# In other words there may be incorrect translations.
# If you need to be sure never use these translations!
#
# French, German and Czech entries are added manually. The entries for
# remaining languages are added automatically. Entries for these languages
# are only experimental.
#
# You may not place this file on WWW, ftp and equivalent servers because
# this file gets outdated very quickly. You may not distribute this file
# with your dictionary applications without permission. You can contact
# authors of the Universal dictionary at: http://dicts.info/contact.php
#
# This file is for personal use only. You may not distribute this file.
#
# New version of this file can be created at: http://www.dicts.info/uddl.php
#

 Angla lingvo 	 Englisch 	 language 
 Britio 	 Britannien 	 country 
 Francio 	 Frankreich 	 country 
 Germana lingvo 	 Deutsch ; Deutsche 	 linguistics 
 Germanio 	 Deutschland 	 country 
 Hindio 	 Indien 	 country 
 Hispanujo 	 Spanien 	 country 
 Italio 	 Italien 	 country 
 Japanio 	 Japan 	 country 
 Tero 	 Erde 	 nature 
 Usono 	 Vereinigte Staaten 	 country 
 abelo 	 Biene ; Honigbiene 	 animal 
 abrupta 	 steil 	 adjective 
 acido 	 Säure 	 material 
 adicio 	 Addition 	 mathematics 
 adjektivo 	 Adjektiv 	 linguistics 
 administri 	 leiten 	 verb 
 adreso 	 Adresse 	 abstract 
 aero 	 Luft 	 nature 
 aerodromo 	 Flughafen ; Flugplatz 	 city 
 aeroplano 	 Flugzeug 	 object 
 afabla 	 lieb ; nett 	 adjective 
 afranko 	 Porto 	 object 
 agi 	 tun 	 verb 
 ago 	 Aktivität 	 mathematics 
 ago 	 Handlung 	 mathematics 
 ago 	 Tat 	 abstract 
 ajna 	 ein ; beliebig 	 adjective 
 ajxo 	 Ding ; Sache 	 object 
 akcepti 	 akzeptieren ; annehmen ; entgegennehmen 	 verb 
 akcidento 	 Unfall ; Unglück 	 transport 
 akcio 	 Aktie 	 business 
 akiri 	 bekommen 	 verb 
 akiri 	 bekommen 	 verb 
 akra 	 scharf 	 adjective 
 aktorino 	 Schauspielerin 	 profession 
 aktoro 	 Akteur ; Schauspieler 	 profession 
 akuzi 	 beschuldigen 	 verb 
 akuzo 	 Anklage ; Beanstandung ; Beschwerde ; Klage 	 society 
 akvo 	 Wasser 	 material 
 al 	 auf 	 preposition 
 al 	 zu 	 preposition 
 aldoni 	 addieren ; zurechnen 	 verb 
 aldono 	 Ergänzung ; Zugabe 	 abstract 
 alia 	 ander ; sonstig ; andere ; anders 	 adjective 
 alia 	 andere ; anders 	 adjective 
 alporti 	 bringen 	 verb 
 alta 	 gross 	 adjective 
 alteco 	 Höhe 	 abstract 
 alternativo 	 Alternative ; Mehrfachmöglichkeit 	 abstract 
 alumeto 	 Zündholz 	 object 
 alveni 	 ankommen ; anreisen ; eintreffen 	 verb 
 alvoki 	 telefonieren ; anrufen 	 verb 
 amara 	 bitter ; herb 	 adjective 
 ambaux 	 beide 	 adjective 
 ami 	 lieben 	 verb 
 amika 	 freundlich 	 adjective 
 amiko 	 Freund ; Freundin 	 family 
 amisto 	 Freund 	 family 
 amo 	 Liebe 	 relations 
 amplekso 	 Reichweite ; Rahmen ; Bereich ; Geltungsbereich ; Umfang 	 abstract 
 angulo 	 Winkel 	 mathematics 
 animala 	 Kreatur ; Tier ; Vieh 	 nature 
 ankaŭ 	 auch 	 adverb 
 ankoraux 	 noch 	 adverb 
 anonci 	 ansagen ; annoncieren 	 verb 
 anso 	 Henkel ; Stiel 	 object 
 antaux 	 ehe ; vor 	 adverb 
 antauxa 	 vordere 	 adjective 
 antauxajxo 	 Front ; Vorderseite ; Vorderteil 	 abstract 
 antauxcxambro 	 Diele ; Halle ; Vestibül ; Vorhalle ; Vorraum 	 house 
 antauxen 	 voraus ; vordere 	 adverb 
 aparato 	 Maschine 	 device 
 aparta 	 abgesondert ; getrennt ; separat 	 adjective 
 apartamento 	 Appartement ; Wohnung 	 society 
 apogo 	 Hilfe ; Stütze ; Unterstützung 	 abstract 
 aprilo 	 April 	 time 
 aprobo 	 Genehmigung ; Billigung 	 communication 
 apuda 	 nächst 	 adjective 
 arbaro 	 Gehölz ; Holz ; Wald 	 nature 
 arbo 	 Baum 	 house 
 argumenti 	 argumentieren 	 verb 
 argumento 	 Argument 	 communication 
 armeo 	 Armee 	 society 
 armeo 	 Militär 	 society 
 artisto 	 Artist 	 profession 
 arto 	 Kunst ; Arte 	 art 
 arĝento 	 Silber 	 material 
 ascendo 	 Aufstieg 	 abstract 
 asekuro 	 Versicherung 	 business 
 aserto 	 Aussage ; Behauptung 	 communication 
 aspekti 	 aussehen 	 verb 
 aspekto 	 Aspekt 	 abstract 
 astro 	 Stern 	 nature 
 ataki 	 angreifen ; attackieren 	 verb 
 atako 	 Angriff ; Anfall ; Attacke 	 abstract 
 atendi 	 erwarten ; entgegensehen 	 verb 
 atenti 	 beachten 	 verb 
 atento 	 Aufmerksamkeit 	 communication 
 atingi 	 erreichen ; erzielen 	 verb 
 atingodistanco 	 Reichweite 	 abstract 
