# Esperanto-Russian translations created from the Universal dictionary at 2011-08-27T09:40:50-06:00
# (c) Copyright 2011 by All free dictionaries project
# ALL FREE DICTIONARIES PROJECT DISCLAIMS ALL
# WARRANTIES WITH REGARD TO THESE TRANSLATIONS, INCLUDING ALL
# IMPLIED WARRANTIES OF MERCHANTABILITY AND FITNESS. IN NO
# EVENT SHALL ALL FREE DICTIONARIES PROJECT OR ANY OF ITS CONTRIBUTORS
# BE LIABLE FOR ANY SPECIAL, INDIRECT OR CONSEQUENTIAL DAMAGES
# OR ANY DAMAGES WHATSOEVER RESULTING FROM LOSS OF USE, DATA OR
# PROFITS, WHETHER IN AN ACTION OF CONTRACT, NEGLIGENCE
# OR OTHER ACTION, ARISING OUT OF OR IN CONNECTION
# WITH THE USE OR PERFORMANCE OF THESE TRANSLATIONS.
#
# In other words there may be incorrect translations.
# If you need to be sure never use these translations!
#
# French, German and Czech entries are added manually. The entries for
# remaining languages are added automatically. Entries for these languages
# are only experimental.
#
# You may not place this file on WWW, ftp and equivalent servers because
# this file gets outdated very quickly. You may not distribute this file
# with your dictionary applications without permission. You can contact
# authors of the Universal dictionary at: http://dicts.info/contact.php
#
# This file is for personal use only. You may not distribute this file.
#
# New version of this file can be created at: http://www.dicts.info/uddl.php
#

 Angla lingvo 	 английский язык 	 language 
 Britio 	 Англия ; Великобритания 	 country 
 Francio 	 Франция 	 country 
 Germana lingvo 	 немецкий язык 	 linguistics 
 Germanio 	 Германия 	 country 
 Hindio 	 Индия 	 country 
 Hispanujo 	 Испания 	 country 
 Italio 	 Италия 	 country 
 Japanio 	 Япония 	 country 
 Tero 	 Земля 	 nature 
 Usono 	 США ; Соединенные Штаты Америки 	 country 
 abelo 	 пчела 	 animal 
 abrupta 	 крутой 	 adjective 
 acido 	 кислота 	 material 
 adicio 	 сложение 	 mathematics 
 adjektivo 	 имя прилагательное 	 linguistics 
 administri 	 вести 	 verb 
 adreso 	 адрес 	 abstract 
 aero 	 воздух 	 nature 
 aerodromo 	 аэродром ; аэропорт 	 city 
 aeroplano 	 самолёт 	 object 
 afabla 	 любезный 	 adjective 
 afranko 	 почтовая марка 	 object 
 agi 	 действовать 	 verb 
 ago 	 дело 	 abstract 
 ago 	 деятельность 	 mathematics 
 ago 	 поступок ; действие 	 mathematics 
 ajna 	 любой 	 adjective 
 ajxo 	 предмет ; вещь 	 object 
 akcepti 	 принять 	 verb 
 akcidento 	 несчастный случай ; авария 	 transport 
 akcio 	 акция 	 business 
 akiri 	 получать 	 verb 
 akiri 	 получить 	 verb 
 akra 	 острый 	 adjective 
 aktorino 	 актриса 	 profession 
 aktoro 	 актёр 	 profession 
 akuzi 	 обвинить 	 verb 
 akuzo 	 нарекание 	 society 
 akvo 	 вода 	 material 
 al 	 на 	 preposition 
 al 	 на 	 preposition 
 aldoni 	 сосчитать 	 verb 
 aldono 	 дополнение 	 abstract 
 alia 	 другой 	 adjective 
 alia 	 другой 	 adjective 
 alia 	 другой 	 adjective 
 alporti 	 принести 	 verb 
 alta 	 высокий 	 adjective 
 alteco 	 высота 	 abstract 
 alternativo 	 альтернатива 	 abstract 
 alumeto 	 спичка 	 object 
 alveni 	 приехать 	 verb 
 alvoki 	 звонить 	 verb 
 amara 	 горький 	 adjective 
 ambaux 	 обе 	 adjective 
 ami 	 любить 	 verb 
 amika 	 дружеский 	 adjective 
 amiko 	 друг 	 family 
 amisto 	 поклонник 	 family 
 amo 	 любовь 	 relations 
 amplekso 	 диапазон 	 abstract 
 angulo 	 угол 	 mathematics 
 animala 	 животное 	 nature 
 ankaŭ 	 tакже ; тоже 	 adverb 
 ankoraux 	 постоянно 	 adverb 
 anonci 	 сообщить 	 verb 
 anso 	 ручка 	 object 
 antaux 	 вперед 	 adverb 
 antaux 	 впереди 	 adverb 
 antauxa 	 передний 	 adjective 
 antauxajxo 	 передняя часть 	 abstract 
 antauxcxambro 	 прихожая ; вестибюль ; передняя 	 house 
 antauxen 	 вперёд 	 adverb 
 aparato 	 станок 	 device 
 aparta 	 отдельный 	 adjective 
 apartamento 	 квартира 	 society 
 apogo 	 поддержка ; опора 	 abstract 
 aprilo 	 апрель 	 time 
 aprobo 	 одобрение ; согласие 	 communication 
 apuda 	 соседний 	 adjective 
 arbaro 	 лес 	 nature 
 arbo 	 дерево 	 house 
 argumenti 	 аргументировать 	 verb 
 argumento 	 аргумент 	 communication 
 armeo 	 армия 	 society 
 armeo 	 армия 	 society 
 artisto 	 художник 	 profession 
 arto 	 искусство 	 art 
 arĝento 	 серебро 	 material 
 ascendo 	 подъём 	 abstract 
 asekuro 	 страховка 	 business 
 aserto 	 утверждения 	 communication 
 aspekti 	 казаться 	 verb 
 aspekto 	 аспект 	 abstract 
 astro 	 звезда 	 nature 
 ataki 	 атаковать 	 verb 
 atako 	 набег 	 abstract 
 atendi 	 ждать 	 verb 
 atenti 	 заботиться 	 verb 
 atento 	 внимание 	 communication 
 atingi 	 достигать 	 verb 
 atingodistanco 	 досягаемость 	 abstract 
 atributo 	 способность 	 abstract 
 auxdi 	 слышать 	 verb 
 avantagxo 	 преимущество 	 abstract 
 aĉeti 	 купить 	 verb 
 aĝo 	 возраст 	 time 
 aĵo 	 дело 	 abstract 
 aŭ 	 или 	 conjunction 
 aŭdi 	 слушать 	 verb 
 aŭstrala 	 южный 	 adjective 
 aŭtobuso 	 автобус 	 transport 
 aŭtomata 	 автоматический 	 adjective 
 aŭtomobilo 	 автомобиль ; машина 	 transport 
 aŭtoritato 	 авторитет 	 society 
 aŭtuno 	 осень 	 nature 
 bagatela 	 малый 	 adjective 
 baldaux 	 скоро 	 adverb 
 bancxambro 	 ванная 	 house 
 banko 	 банк 	 city 
 bano 	 ванна 	 house 
 barbara 	 жестокий 	 adjective 
 basbalo 	 бейсбол 	 sports 
 bastono 	 палка 	 object 
 bastono 	 персонал 	 society 
 batalado 	 борьба 	 abstract 
 batali 	 драться 	 verb 
 bato 	 удар 	 abstract 
 baza 	 основной 	 adjective 
 bazaro 	 рынок ; базар 	 business 
 bazo 	 военная база 	 society 
 bazo 	 основа ; база 	 mathematics 
 beko 	 клюв 	 anatomy 
 bela 	 красивый 	 adjective 
 beleta 	 красивый ; хороший 	 adjective 
 bezono 	 потребность 	 abstract 
 biblioteko 	 библиотека 	 city 
 biciklo 	 велосипед 	 object 
 biero 	 пиво 	 food 
 bildo 	 изображение 	 art 
 bildo 	 имидж 	 art 
 bileto 	 билет 	 object 
 biologio 	 биология 	 science 
 birdo 	 птица 	 animal 
 blanka 	 белый 	 adjective 
 blua 	 голубой 	 color 
 boato 	 лодка 	 object 
 bobeni 	 намотать 	 verb 
 bobeno 	 круг 	 object 
 boltingo 	 гайка 	 object 
 bona 	 хороший ; хорошая 	 adjective 
 bona 	 хороший ; хорошо 	 adjective 
 bone 	 хорошо 	 adverb 
 bonega 	 замечательный 	 adjective 
 bonŝanca 	 счастливый 	 adjective 
 bordo 	 берег 	 nature 
