# French-English translations created from the Universal dictionary at 2011-05-28T05:46:15-06:00
# (c) Copyright 2011 by All free dictionaries project
# ALL FREE DICTIONARIES PROJECT DISCLAIMS ALL
# WARRANTIES WITH REGARD TO THESE TRANSLATIONS, INCLUDING ALL
# IMPLIED WARRANTIES OF MERCHANTABILITY AND FITNESS. IN NO
# EVENT SHALL ALL FREE DICTIONARIES PROJECT OR ANY OF ITS CONTRIBUTORS
# BE LIABLE FOR ANY SPECIAL, INDIRECT OR CONSEQUENTIAL DAMAGES
# OR ANY DAMAGES WHATSOEVER RESULTING FROM LOSS OF USE, DATA OR
# PROFITS, WHETHER IN AN ACTION OF CONTRACT, NEGLIGENCE
# OR OTHER ACTION, ARISING OUT OF OR IN CONNECTION
# WITH THE USE OR PERFORMANCE OF THESE TRANSLATIONS.
#
# In other words there may be incorrect translations.
# If you need to be sure never use these translations!
#
# French, German and Czech entries are added manually. The entries for
# remaining languages are added automatically. Entries for these languages
# are only experimental.
#
# You may not place this file on WWW, ftp and equivalent servers because
# this file gets outdated very quickly. You may not distribute this file
# with your dictionary applications without permission. You can contact
# authors of the Universal dictionary at: http://dicts.info/contact.php
#
# This file is for personal use only. You may not distribute this file.
#
# New version of this file can be created at: http://www.dicts.info/uddl.php
#

 Britain 	 United Kingdom ; UK ; U.K. ; Britain ; United Kingdom of Great Britain and Northern Ireland ; Great Britain 	 country 
 Chine 	 China ; People's Republic of China ; mainland China ; Communist China ; Red China ; PRC ; Cathay 	 country 
 Italie 	 Italy ; Italian Republic ; Italia 	 country 
 Japon 	 Japan ; Nippon ; Nihon 	 country 
 Royaume d'Espagne 	 Spain ; Kingdom of Spain ; Espana 	 country 
 République de l'Inde 	 India ; Republic of India ; Bharat 	 country 
 République française 	 France ; French Republic 	 country 
 République fédérale d'Allemagne 	 Germany ; Federal Republic of Germany ; Deutschland ; FRG 	 country 
 République tchèque 	 Czech Republic 	 country 
 Terre 	 Earth ; earth ; world ; globe 	 nature 
 abdiquer 	 surrender ; give up 	 verb 
 abeille 	 bee 	 animal 
 accepter 	 accept ; take ; have 	 verb 
 accepter 	 admit ; acknowledge 	 verb 
 accident 	 accident 	 transport 
 accusation 	 charge ; complaint 	 society 
 accuser 	 charge ; accuse 	 verb 
 acheter 	 buy ; purchase 	 verb 
 acide 	 acid 	 material 
 acier 	 steel 	 material 
 acte 	 act ; deed ; human action ; human activity 	 abstract 
 action 	 action 	 mathematics 
 action 	 action 	 mathematics 
 action 	 share 	 business 
 activité 	 action ; activity ; activeness 	 mathematics 
 actrice 	 actress 	 profession 
 actuel 	 current 	 adjective 
 actuellement 	 now ; at present 	 adverb 
 addition 	 summation ; addition ; plus 	 mathematics 
 additionner 	 add ; add together 	 verb 
 adjacent 	 adjacent ; next ; side by side 	 adjective 
 adjectif 	 adjective 	 linguistics 
 administrer 	 manage ; deal ; care ; handle 	 verb 
 adresse 	 address 	 abstract 
 adresse 	 skill ; science 	 sports 
 affaire 	 business ; concern ; business concern ; business organization ; business organisation 	 business 
 affaire 	 case ; instance ; example 	 abstract 
 affaire 	 trade 	 business 
 affamé 	 hungry 	 adjective 
 affecter 	 affect ; impact ; bear upon ; bear on ; touch on ; touch 	 verb 
 affronter 	 confront ; face up ; face 	 verb 
 agir 	 act ; move 	 verb 
 agrafe 	 hook ; claw 	 object 
 agrandissement 	 increase ; increment ; growth 	 abstract 
 aide 	 aid ; assist ; assistance ; help 	 communication 
 aiguille 	 needle 	 medicine 
 aiguisé 	 acuate ; acute ; sharp ; needlelike 	 adjective 
 aile 	 wing 	 anatomy 
 aimer 	 enjoy ; bask ; relish ; savor ; savour 	 verb 
 aimer 	 like 	 verb 
 aimer 	 love 	 verb 
 ainsi 	 so 	 adverb 
 air 	 air 	 nature 
 aire 	 area ; expanse ; surface area 	 mathematics 
 alentours 	 environment ; environs ; surroundings ; surround 	 nature 
 allemand 	 German ; High German ; German language 	 linguistics 
 aller 	 match ; fit ; correspond ; check ; jibe ; gibe ; tally ; agree 	 verb 
 aller 	 travel ; go ; move ; locomote 	 verb 
 allumette 	 match ; lucifer ; friction match 	 object 
 alors 	 then ; so ; and so ; and then 	 adverb 
 alternative 	 option ; alternative ; choice 	 abstract 
 aléa 	 hazard ; jeopardy ; peril ; risk ; endangerment 	 transport 
 amant 	 boyfriend ; fellow ; beau ; swain ; young man 	 family 
 amer 	 bitter 	 adjective 
 amical 	 friendly 	 adjective 
 améliorer 	 better ; improve ; amend ; ameliorate ; meliorate 	 verb 
 ancien 	 erstwhile ; former ; old ; onetime ; one-time ; quondam ; sometime 	 adjective 
 anglais 	 English ; English language 	 language 
 angle 	 angle 	 mathematics 
 animal 	 animal ; animate being ; beast ; brute ; creature ; fauna 	 nature 
 animer 	 encourage 	 verb 
 anneau 	 ring ; band 	 clothes 
 anniversaire 	 birthday 	 family 
 annonce 	 ad ; advertisement ; advertizement ; advertising ; advertizing ; advert 	 business 
 annoncer 	 announce ; denote 	 verb 
 année 	 year ; twelvemonth ; yr 	 time 
 anse 	 bend ; curve 	 transport 
 appartement 	 apartment ; flat 	 society 
 appeler 	 request ; bespeak ; call for ; quest 	 verb 
 apporter 	 bring ; convey ; take 	 verb 
