# French-Esperanto translations created from the Universal dictionary at 2011-05-28T05:46:29-06:00
# (c) Copyright 2011 by All free dictionaries project
# ALL FREE DICTIONARIES PROJECT DISCLAIMS ALL
# WARRANTIES WITH REGARD TO THESE TRANSLATIONS, INCLUDING ALL
# IMPLIED WARRANTIES OF MERCHANTABILITY AND FITNESS. IN NO
# EVENT SHALL ALL FREE DICTIONARIES PROJECT OR ANY OF ITS CONTRIBUTORS
# BE LIABLE FOR ANY SPECIAL, INDIRECT OR CONSEQUENTIAL DAMAGES
# OR ANY DAMAGES WHATSOEVER RESULTING FROM LOSS OF USE, DATA OR
# PROFITS, WHETHER IN AN ACTION OF CONTRACT, NEGLIGENCE
# OR OTHER ACTION, ARISING OUT OF OR IN CONNECTION
# WITH THE USE OR PERFORMANCE OF THESE TRANSLATIONS.
#
# In other words there may be incorrect translations.
# If you need to be sure never use these translations!
#
# French, German and Czech entries are added manually. The entries for
# remaining languages are added automatically. Entries for these languages
# are only experimental.
#
# You may not place this file on WWW, ftp and equivalent servers because
# this file gets outdated very quickly. You may not distribute this file
# with your dictionary applications without permission. You can contact
# authors of the Universal dictionary at: http://dicts.info/contact.php
#
# This file is for personal use only. You may not distribute this file.
#
# New version of this file can be created at: http://www.dicts.info/uddl.php
#

 Britain 	 Britio 	 country 
 Italie 	 Italio 	 country 
 Japon 	 Japanio 	 country 
 Royaume d'Espagne 	 Hispanujo 	 country 
 République de l'Inde 	 Hindio 	 country 
 République française 	 Francio 	 country 
 République fédérale d'Allemagne 	 Germanio 	 country 
 République tchèque 	 Ĉeĥio 	 country 
 Terre 	 Tero 	 nature 
 abdiquer 	 kapitulaci 	 verb 
 abeille 	 abelo 	 animal 
 accepter 	 akcepti 	 verb 
 accepter 	 koncedi 	 verb 
 accident 	 akcidento 	 transport 
 accusation 	 akuzo 	 society 
 accuser 	 akuzi 	 verb 
 acheter 	 aĉeti 	 verb 
 acide 	 acido 	 material 
 acier 	 ŝtalo 	 material 
 acte 	 ago 	 abstract 
 action 	 ago 	 mathematics 
 action 	 akcio 	 business 
 action 	 faro 	 mathematics 
 activité 	 ago 	 mathematics 
 actrice 	 aktorino 	 profession 
 actuel 	 kuranta 	 adjective 
 actuellement 	 nuntempe 	 adverb 
 addition 	 adicio 	 mathematics 
 additionner 	 aldoni 	 verb 
 adjacent 	 apuda 	 adjective 
 adjectif 	 adjektivo 	 linguistics 
 administrer 	 administri 	 verb 
 adresse 	 adreso 	 abstract 
 adresse 	 lerteco 	 sports 
 affaire 	 komerco 	 business 
 affamé 	 malsata 	 adjective 
 affronter 	 defii 	 verb 
 agir 	 agi 	 verb 
 agrafe 	 krocxilo 	 object 
 agrandissement 	 kresko 	 abstract 
 aide 	 helpo 	 communication 
 aiguille 	 kudrilo 	 medicine 
 aiguisé 	 akra 	 adjective 
 aile 	 flugilo 	 anatomy 
 aimer 	 ami 	 verb 
 aimer 	 ĝui 	 verb 
 ainsi 	 tiel 	 adverb 
 air 	 aero 	 nature 
 aire 	 spaco 	 mathematics 
 alentours 	 cxirkauxajxo 	 nature 
 allemand 	 Germana lingvo 	 linguistics 
 aller 	 iri 	 verb 
 aller 	 korespondi 	 verb 
 allumette 	 alumeto 	 object 
 alors 	 tiam 	 adverb 
 alternative 	 alternativo 	 abstract 
 aléa 	 risko 	 transport 
 amant 	 amisto 	 family 
 amer 	 amara 	 adjective 
 amical 	 amika 	 adjective 
 améliorer 	 plibonigi 	 verb 
 ancien 	 estinta 	 adjective 
 anglais 	 Angla lingvo 	 language 
 angle 	 angulo 	 mathematics 
 animal 	 animala 	 nature 
 animer 	 kuraĝigi 	 verb 
 anneau 	 ringo 	 clothes 
 anniversaire 	 naskiĝtago 	 family 
 annonce 	 reklamo 	 business 
 annoncer 	 anonci 	 verb 
 année 	 jaro 	 time 
 anse 	 sinuo 	 transport 
 appartement 	 apartamento 	 society 
 appeler 	 peti 	 verb 
 apporter 	 alporti 	 verb 
 approbation 	 aprobo 	 communication 
 approximatif 	 kruda 	 adjective 
 apprécier 	 taksi 	 verb 
 appui 	 apogo 	 abstract 
 après-midi 	 posttagmezo 	 time 
 arbre 	 arbo 	 house 
 arc 	 kurbo 	 art 
 argent 	 arĝento 	 material 
 argent 	 mono 	 business 
 argument 	 argumento 	 communication 
 argument 	 diskuto 	 communication 
 armée 	 armeo 	 society 
 armée 	 armeo 	 society 
 arrangement 	 interkonsento 	 business 
 arriver 	 alveni 	 verb 
 arriver 	 gajni 	 verb 
 arriver 	 okazi 	 verb 
 arrondir 	 rondigi 	 verb 
 arrêt 	 halto 	 abstract 
 arrêter 	 haltigi 	 verb 
 art 	 arto 	 art 
 artiste 	 artisto 	 profession 
 ascenseur 	 lifto 	 device 
 ascension 	 ascendo 	 abstract 
 aspect 	 aspekto 	 abstract 
 assez 	 suficxe 	 adverb 
 assiette 	 telero 	 food 
 assoiffé 	 soifa 	 adjective 
 assurance 	 asekuro 	 business 
 assurer 	 savi 	 verb 
 assurément 	 certe 	 adverb 
 astucieux 	 sagaca 	 adjective 
 attaque 	 atako 	 abstract 
 attaquer 	 ataki 	 verb 
 attendre 	 atendi 	 verb 
 attention 	 atenti 	 verb 
 attention 	 atento 	 communication 
 attraper 	 akiri 	 verb 
 au-dessous 	 sub 	 adjective 
 aucun 	 nenia 	 adjective 
 audio 	 sono 	 abstract 
 augmentation 	 pliigo 	 abstract 
 augmenter 	 kreski 	 verb 
 aujourd'hui 	 hodiaŭ 	 adverb 
 ausculter 	 aŭdi 	 verb 
 aussi 	 ankaŭ 	 adverb 
 austral 	 aŭstrala 	 adjective 
 autocar 	 aŭtobuso 	 transport 
 automatique 	 aŭtomata 	 adjective 
 automne 	 aŭtuno 	 nature 
 automobile 	 aŭtomobilo 	 transport 
 autorité 	 aŭtoritato 	 society 
 autour 	 cxirkaux 	 adverb 
 autre 	 alia 	 adjective 
 autre 	 alia 	 adjective 
 autrefois 	 iam 	 adverb 
 avant 	 antaux 	 adverb 
 avant 	 antauxajxo 	 abstract 
 avant 	 antauxen 	 adverb 
 avantage 	 avantagxo 	 abstract 
 avec 	 kun 	 preposition 
 avion 	 aeroplano 	 object 
 avis 	 opinio 	 communication 
 avoir 	 havi 	 verb 
 avoir 	 havi 	 verb 
 avoir besoin 	 necesi 	 verb 
 avril 	 aprilo 	 time 
 aérodrome 	 aerodromo 	 city 
 bain 	 bano 	 house 
 baiser 	 kisi 	 verb 
 baiser 	 kiso 	 relations 
 ballon 	 pilko 	 object 
 banque 	 banko 	 city 
 barbare 	 barbara 	 adjective 
 barrière 	 pordego 	 house 
 bas 	 malalta 	 adjective 
 bas 	 malsupren 	 adverb 
 bas 	 suben 	 adjective 
 base 	 bazo 	 mathematics 
 base 	 bazo 	 society 
 base-ball 	 basbalo 	 sports 
 bateau 	 boato 	 object 
 beau 	 bela 	 adjective 
 beaucoup 	 multaj 	 adjective 
 beaucoup 	 multe 	 adjective 
 bec 	 beko 	 anatomy 
 besoin 	 bezono 	 abstract 
 beurre 	 butero 	 food 
 bibliothèque 	 biblioteko 	 city 
 bicyclette 	 biciklo 	 object 
 bien 	 bone 	 adverb 
 bientôt 	 baldaux 	 adverb 
 bijou 	 juvelo 	 object 
 billet 	 bileto 	 object 
