# French-German translations created from the Universal dictionary at 2011-08-27T09:41:58-06:00
# (c) Copyright 2011 by All free dictionaries project
# ALL FREE DICTIONARIES PROJECT DISCLAIMS ALL
# WARRANTIES WITH REGARD TO THESE TRANSLATIONS, INCLUDING ALL
# IMPLIED WARRANTIES OF MERCHANTABILITY AND FITNESS. IN NO
# EVENT SHALL ALL FREE DICTIONARIES PROJECT OR ANY OF ITS CONTRIBUTORS
# BE LIABLE FOR ANY SPECIAL, INDIRECT OR CONSEQUENTIAL DAMAGES
# OR ANY DAMAGES WHATSOEVER RESULTING FROM LOSS OF USE, DATA OR
# PROFITS, WHETHER IN AN ACTION OF CONTRACT, NEGLIGENCE
# OR OTHER ACTION, ARISING OUT OF OR IN CONNECTION
# WITH THE USE OR PERFORMANCE OF THESE TRANSLATIONS.
#
# In other words there may be incorrect translations.
# If you need to be sure never use these translations!
#
# French, German and Czech entries are added manually. The entries for
# remaining languages are added automatically. Entries for these languages
# are only experimental.
#
# You may not place this file on WWW, ftp and equivalent servers because
# this file gets outdated very quickly. You may not distribute this file
# with your dictionary applications without permission. You can contact
# authors of the Universal dictionary at: http://dicts.info/contact.php
#
# This file is for personal use only. You may not distribute this file.
#
# New version of this file can be created at: http://www.dicts.info/uddl.php
#

 Britain 	 Britannien 	 country 
 Chine 	 China 	 country 
 Italie 	 Italien 	 country 
 Japon 	 Japan 	 country 
 Royaume d'Espagne 	 Spanien 	 country 
 République de l'Inde 	 Indien 	 country 
 République française 	 Frankreich 	 country 
 République fédérale d'Allemagne 	 Deutschland 	 country 
 République tchèque 	 Tschechische Republik 	 country 
 Terre 	 Erde 	 nature 
 abdiquer 	 kapitulieren 	 verb 
 abeille 	 Biene ; Honigbiene 	 animal 
 accepter 	 akzeptieren ; annehmen ; entgegennehmen 	 verb 
 accepter 	 zugeben ; zulassen ; anerkennen 	 verb 
 accident 	 Unfall ; Unglück 	 transport 
 accusation 	 Anklage ; Beanstandung ; Beschwerde ; Klage 	 society 
 accuser 	 beschuldigen 	 verb 
 acheter 	 kaufen 	 verb 
 acide 	 Säure 	 material 
 acier 	 Stahl 	 material 
 acte 	 Tat 	 abstract 
 action 	 Akt ; Tat 	 mathematics 
 action 	 Aktie 	 business 
 action 	 Handlung 	 mathematics 
 activité 	 Aktivität 	 mathematics 
 actrice 	 Schauspielerin 	 profession 
 actuel 	 gegenwärtig ; geläufig ; gängig 	 adjective 
 actuellement 	 jetzt 	 adverb 
 addition 	 Addition 	 mathematics 
 additionner 	 addieren ; zurechnen 	 verb 
 adjacent 	 nächst 	 adjective 
 adjectif 	 Adjektiv 	 linguistics 
 administrer 	 leiten 	 verb 
 adresse 	 Adresse 	 abstract 
 adresse 	 Geschick 	 sports 
 affaire 	 Fall 	 abstract 
 affaire 	 Geschäft 	 business 
 affaire 	 Handel 	 business 
 affamé 	 hungrig 	 adjective 
 affecter 	 beeinflussen 	 verb 
 affronter 	 trotzen 	 verb 
 agir 	 tun 	 verb 
 agrafe 	 Haken 	 object 
 agrandissement 	 Wachstum 	 abstract 
 aide 	 Hilfe ; Mithilfe ; Unterstützung 	 communication 
 aiguille 	 Nadel 	 medicine 
 aiguisé 	 scharf 	 adjective 
 aile 	 Flügel 	 anatomy 
 aimer 	 genießen 	 verb 
 aimer 	 lieben 	 verb 
 aimer 	 lieben ; mögen 	 verb 
 ainsi 	 so 	 adverb 
 air 	 Luft 	 nature 
 aire 	 Fläche 	 mathematics 
 alentours 	 Umgebung 	 nature 
 allemand 	 Deutsch ; Deutsche 	 linguistics 
 aller 	 gehen ; bewegen sich 	 verb 
 aller 	 korrespondieren ; übereinstimmen 	 verb 
 allumette 	 Zündholz 	 object 
 alors 	 dann 	 adverb 
 alternative 	 Alternative ; Mehrfachmöglichkeit 	 abstract 
 aléa 	 Gefahr ; Risiko ; Wagnis 	 transport 
 amant 	 Freund 	 family 
 amer 	 bitter ; herb 	 adjective 
 amical 	 freundlich 	 adjective 
 améliorer 	 verbessern 	 verb 
 ancien 	 vorig ; früher 	 adjective 
 anglais 	 Englisch 	 language 
 angle 	 Winkel 	 mathematics 
 animal 	 Kreatur ; Tier ; Vieh 	 nature 
 animer 	 ermutigen 	 verb 
 anneau 	 Ring 	 clothes 
 anniversaire 	 Geburtstag 	 family 
 annonce 	 Inserat ; Reklame ; Werbung ; Zeitungsanzeige 	 business 
 annoncer 	 ansagen ; annoncieren 	 verb 
 année 	 Jahr 	 time 
 anse 	 Kurve 	 transport 
 appartement 	 Appartement ; Wohnung 	 society 
 appeler 	 fordern ; verlangen 	 verb 
 apporter 	 bringen 	 verb 
