# French-Russian translations created from the Universal dictionary at 2011-08-27T09:41:06-06:00
# (c) Copyright 2011 by All free dictionaries project
# ALL FREE DICTIONARIES PROJECT DISCLAIMS ALL
# WARRANTIES WITH REGARD TO THESE TRANSLATIONS, INCLUDING ALL
# IMPLIED WARRANTIES OF MERCHANTABILITY AND FITNESS. IN NO
# EVENT SHALL ALL FREE DICTIONARIES PROJECT OR ANY OF ITS CONTRIBUTORS
# BE LIABLE FOR ANY SPECIAL, INDIRECT OR CONSEQUENTIAL DAMAGES
# OR ANY DAMAGES WHATSOEVER RESULTING FROM LOSS OF USE, DATA OR
# PROFITS, WHETHER IN AN ACTION OF CONTRACT, NEGLIGENCE
# OR OTHER ACTION, ARISING OUT OF OR IN CONNECTION
# WITH THE USE OR PERFORMANCE OF THESE TRANSLATIONS.
#
# In other words there may be incorrect translations.
# If you need to be sure never use these translations!
#
# French, German and Czech entries are added manually. The entries for
# remaining languages are added automatically. Entries for these languages
# are only experimental.
#
# You may not place this file on WWW, ftp and equivalent servers because
# this file gets outdated very quickly. You may not distribute this file
# with your dictionary applications without permission. You can contact
# authors of the Universal dictionary at: http://dicts.info/contact.php
#
# This file is for personal use only. You may not distribute this file.
#
# New version of this file can be created at: http://www.dicts.info/uddl.php
#

 Britain 	 Англия ; Великобритания 	 country 
 Chine 	 китай 	 country 
 Italie 	 Италия 	 country 
 Japon 	 Япония 	 country 
 Royaume d'Espagne 	 Испания 	 country 
 République de l'Inde 	 Индия 	 country 
 République française 	 Франция 	 country 
 République fédérale d'Allemagne 	 Германия 	 country 
 République tchèque 	 Чехия ; Чешская Республика 	 country 
 Terre 	 Земля 	 nature 
 abdiquer 	 поддаться 	 verb 
 abeille 	 пчела 	 animal 
 accepter 	 принять 	 verb 
 accepter 	 припустить ; признать 	 verb 
 accident 	 несчастный случай ; авария 	 transport 
 accusation 	 нарекание 	 society 
 accuser 	 обвинить 	 verb 
 acheter 	 купить 	 verb 
 acide 	 кислота 	 material 
 acier 	 сталь 	 material 
 acte 	 дело 	 abstract 
 action 	 акция 	 business 
 action 	 поступок ; действие 	 mathematics 
 action 	 поступок ; действие 	 mathematics 
 activité 	 деятельность 	 mathematics 
 actrice 	 актриса 	 profession 
 actuel 	 современный 	 adjective 
 actuellement 	 теперь ; сейчас 	 adverb 
 addition 	 сложение 	 mathematics 
 additionner 	 сосчитать 	 verb 
 adjacent 	 соседний 	 adjective 
 adjectif 	 имя прилагательное 	 linguistics 
 administrer 	 вести 	 verb 
 adresse 	 адрес 	 abstract 
 adresse 	 искусство 	 sports 
 affaire 	 занятие ; торговля 	 business 
 affaire 	 коммерция ; бизнес 	 business 
 affaire 	 случай 	 abstract 
 affamé 	 голодный 	 adjective 
 affecter 	 поблиять 	 verb 
 affronter 	 давать отпор ; противостоять 	 verb 
 agir 	 действовать 	 verb 
 agrafe 	 крючок 	 object 
 agrandissement 	 рост 	 abstract 
 aide 	 помощь ; содействие 	 communication 
 aiguille 	 иголка ; игла 	 medicine 
 aiguisé 	 острый 	 adjective 
 aile 	 крыло 	 anatomy 
 aimer 	 любить 	 verb 
 aimer 	 нравиться ; любить 	 verb 
 aimer 	 радоваться 	 verb 
 ainsi 	 так ; таким образом 	 adverb 
 air 	 воздух 	 nature 
 aire 	 пространство 	 mathematics 
 alentours 	 среда ; окружающая среда 	 nature 
 allemand 	 немецкий язык 	 linguistics 
 aller 	 сходиться 	 verb 
 aller 	 ходить 	 verb 
 allumette 	 спичка 	 object 
 alors 	 потом ; после 	 adverb 
 alternative 	 альтернатива 	 abstract 
 aléa 	 риск 	 transport 
 amant 	 поклонник 	 family 
 amer 	 горький 	 adjective 
 amical 	 дружеский 	 adjective 
 améliorer 	 улучшить 	 verb 
 ancien 	 бывший 	 adjective 
 anglais 	 английский язык 	 language 
 angle 	 угол 	 mathematics 
 animal 	 животное 	 nature 
 animer 	 ободрить 	 verb 
 anneau 	 кольцо 	 clothes 
 anniversaire 	 день рождения 	 family 
 annonce 	 пропаганда ; реклама ; объявление 	 business 
 annoncer 	 сообщить 	 verb 
 année 	 год 	 time 
 anse 	 povorod 	 transport 
 appartement 	 квартира 	 society 
 appeler 	 просить 	 verb 
 apporter 	 принести 	 verb 
 approbation 	 одобрение ; согласие 	 communication 
 approximatif 	 грубый 	 adjective 
 apprécier 	 оценивать 	 verb 
 appui 	 поддержка ; опора 	 abstract 
 après-midi 	 время после полудня 	 time 
