# Russian-Esperanto translations created from the Universal dictionary at 2011-08-27T09:42:20-06:00
# (c) Copyright 2011 by All free dictionaries project
# ALL FREE DICTIONARIES PROJECT DISCLAIMS ALL
# WARRANTIES WITH REGARD TO THESE TRANSLATIONS, INCLUDING ALL
# IMPLIED WARRANTIES OF MERCHANTABILITY AND FITNESS. IN NO
# EVENT SHALL ALL FREE DICTIONARIES PROJECT OR ANY OF ITS CONTRIBUTORS
# BE LIABLE FOR ANY SPECIAL, INDIRECT OR CONSEQUENTIAL DAMAGES
# OR ANY DAMAGES WHATSOEVER RESULTING FROM LOSS OF USE, DATA OR
# PROFITS, WHETHER IN AN ACTION OF CONTRACT, NEGLIGENCE
# OR OTHER ACTION, ARISING OUT OF OR IN CONNECTION
# WITH THE USE OR PERFORMANCE OF THESE TRANSLATIONS.
#
# In other words there may be incorrect translations.
# If you need to be sure never use these translations!
#
# French, German and Czech entries are added manually. The entries for
# remaining languages are added automatically. Entries for these languages
# are only experimental.
#
# You may not place this file on WWW, ftp and equivalent servers because
# this file gets outdated very quickly. You may not distribute this file
# with your dictionary applications without permission. You can contact
# authors of the Universal dictionary at: http://dicts.info/contact.php
#
# This file is for personal use only. You may not distribute this file.
#
# New version of this file can be created at: http://www.dicts.info/uddl.php
#

 povorod 	 sinuo 	 transport 
 poпробовать 	 gustumi 	 verb 
 tакже ; тоже 	 ankaŭ 	 adverb 
 ''not used'' 	 la 	 article 
 Англия ; Великобритания 	 Britio 	 country 
 Германия 	 Germanio 	 country 
 Земля 	 Tero 	 nature 
 Индия 	 Hindio 	 country 
 Испания 	 Hispanujo 	 country 
 Италия 	 Italio 	 country 
 США ; Соединенные Штаты Америки 	 Usono 	 country 
 Франция 	 Francio 	 country 
 Чехия ; Чешская Республика 	 Ĉeĥio 	 country 
 Япония 	 Japanio 	 country 
 автобус 	 aŭtobuso 	 transport 
 автоматический 	 aŭtomata 	 adjective 
 автомобиль ; машина 	 aŭtomobilo 	 transport 
 авторитет 	 aŭtoritato 	 society 
 адрес 	 adreso 	 abstract 
 актриса 	 aktorino 	 profession 
 актёр 	 aktoro 	 profession 
 акция 	 akcio 	 business 
 альтернатива 	 alternativo 	 abstract 
 английский язык 	 Angla lingvo 	 language 
 апельсин 	 oranĝo 	 food 
 апрель 	 aprilo 	 time 
 аргумент 	 argumento 	 communication 
 аргументировать 	 argumenti 	 verb 
 арифмометр ; счётчик 	 kalkulilo 	 device 
 армия 	 armeo 	 society 
 армия 	 armeo 	 society 
 аспект 	 aspekto 	 abstract 
 атаковать 	 ataki 	 verb 
 аэродром ; аэропорт 	 aerodromo 	 city 
 баланц 	 ekvilibro 	 physics 
 банк 	 banko 	 city 
 банкнот ; кредитный билет 	 monbileto 	 business 
 бдительный 	 maldorma 	 adjective 
 бедный 	 malricxa 	 adjective 
 бежать 	 kuri 	 verb 
 безобразный ; некрасивый 	 malbela 	 adjective 
 безопасный 	 sekura 	 adjective 
 безработный 	 senlabora 	 adjective 
 бейсбол 	 basbalo 	 sports 
 белый 	 blanka 	 adjective 
 берег 	 bordo 	 nature 
 бесплатный 	 senpaga 	 adjective 
 библиотека 	 biblioteko 	 city 
 бизнесмен 	 negocisto 	 profession 
 билет 	 bileto 	 object 
 биология 	 biologio 	 science 
 бич 	 vipo 	 object 
 благодарить 	 danki 	 verb 
 близкий ; недалёкий 	 proksima 	 adjective 
 блюдо ; еда 	 manĝo 	 food 
 блюдо ; питание 	 nutraĵo 	 food 
 более ; болше 	 pli 	 adjective 
 болезнь 	 malsano 	 medicine 
 боль 	 doloro 	 medicine 
 больница 	 malsanulejo 	 city 
 больной 	 malsana 	 adjective 
 большинство 	 plejparto 	 abstract 
 большой ; великий 	 granda 	 adjective 
 большой палец 	 dikfingro 	 anatomy 
 большой чан ; спина 	 dorso 	 anatomy 
 борьба 	 batalado 	 abstract 
 ботинок 	 boto 	 clothes 
 ботинок 	 ŝuo 	 clothes 
 бояться 	 timi 	 verb 
 брак 	 edzeco 	 society 
 брак 	 geedzigxo 	 family 
 брак 	 nupto 	 family 
 брат 	 frato 	 family 
 брешь 	 fendeto 	 abstract 
 бросание 	 ĵeto 	 sports 
 бросать ; кидать 	 jxeti 	 verb 
 будущее 	 estonteco 	 time 
 будущий 	 venonta 	 adjective 
 буква 	 litero 	 linguistics 
 буксовка 	 glito 	 abstract 
 булавка 	 pinglo 	 object 
 бумага 	 papero 	 material 
 бутылка 	 botelo 	 food 
 бывший 	 estinta 	 adjective 
 быстро 	 rapide 	 adverb 
 быстрый 	 rapida 	 logistics 
 быть 	 ekzisti 	 verb 
 быть 	 esti 	 verb 
 в 	 en 	 preposition 
 в течение 	 dum 	 preposition 
 важный 	 grava 	 adjective 
 важный 	 signifoplena 	 adjective 
 ванна 	 bano 	 house 
 ванная 	 bancxambro 	 house 
 варить 	 kuiradi 	 verb 
 вверх 	 supren 	 adverb 
 вдоль 	 laux 	 adverb 
 вдруг 	 subite 	 adverb 
 век 	 jarcento 	 time 
 велосипед 	 biciklo 	 object 
 верить 	 kredi 	 verb 
 вернуть 	 redoni 	 verb 
 верный 	 certa 	 adjective 
 вероисповедание 	 fido 	 society 
 вероятно 	 versxajne 	 adverb 
 вероятный 	 versxajna 	 adjective 
 верхушка 	 supro 	 abstract 
 вес 	 pezo 	 physics 
 веселье ; развлечение ; забава ; увеселение 	 distraĵo 	 art 
 весна 	 printempo 	 nature 
 вести 	 administri 	 verb 
 вести 	 gvidi 	 verb 
 весь ; целый 	 totala 	 adjective 
 весь ; целый 	 tuta 	 adjective 
 ветвь 	 brancxo 	 nature 
 ветер 	 vento 	 nature 
 вечер 	 vespero 	 time 
 вечеринка 	 festo 	 society 
 вещество 	 materio 	 material 
 взвешивать(ся) 	 pezi 	 verb 
 взгорье ; холм 	 monteto 	 nature 
 взять ; брать 	 preni 	 verb 
 вид 	 speco 	 abstract 
 вид ; взгляд 	 rigardo 	 communication 
 видеть 	 vidi 	 verb 
 визит 	 vizito 	 abstract 
 вилка 	 forko 	 food 
 вино 	 vino 	 food 
 включить 	 inkluzivi 	 verb 
 включённый 	 sur 	 adjective 
 вкус 	 gusto 	 nature 
 владеть 	 havi 	 verb 
 влажность 	 humideco 	 nature 
 вместе 	 kune 	 adverb 
 внимание 	 atento 	 communication 
 внутри 	 ene 	 adverb 
 внутрь ; в ; до 	 en 	 adverb 
 вода 	 akvo 	 material 
 водить 	 stiri 	 verb 
 военная база 	 bazo 	 society 
 военный 	 militisto 	 adjective 
 воздух 	 aero 	 nature 
 возможность 	 okazo 	 abstract 
 возможный 	 eventuala 	 adjective 
 возражать ; протестовать 	 protesti 	 verb 
 возраст 	 aĝo 	 time 
 возраст 	 epoko 	 time 
 волна 	 ondo 	 nature 
 волна ; шерсть 	 lano 	 material 
 волос ; ворс 	 haro 	 anatomy 
 волосы 	 haroj 	 anatomy 
 воля 	 volo 	 abstract 
 вонять 	 fetori 	 verb 
 вопрос 	 demando 	 linguistics 
 ворота ; калитка 	 pordego 	 house 
 воротник ; туфля 	 kolumo 	 clothes 
 восемь 	 ok 	 number 
 восемьдесят 	 okdek 	 number 
 воскресенье 	 dimancxo 	 time 
 воспитание 	 edukado 	 society 
 воспитать 	 eduki 	 verb 
 воспоминание 	 memoro 	 communication 
 восьмой 	 oka 	 number 
 вперед 	 antaux 	 adverb 
 впереди 	 antaux 	 adverb 
 вперёд 	 antauxen 	 adverb 
 врач ; доктор 	 doktoro 	 profession 
 времена года 	 sezono 	 nature 
 время 	 tempo 	 physics 
 время после полудня 	 posttagmezo 	 time 
 вручить 	 liveri 	 verb 
 все 	 cxio 	 pronoun 
 все ; бсё 	 cxio 	 adjective 
 всегда 	 ĉiam 	 adverb 
 всеобщий ; общий 	 gxenerala 	 adjective 
 всерьёз 	 vere 	 adverb 
 встать 	 levigxi 	 verb 
 встреча 	 renkontigxo 	 communication 
 встреча ; свидание 	 rendevuo 	 relations 
 встречать(ся) 	 renkonti 	 verb 
 вступить 	 eniri 	 verb 
 вторая степень 	 kvadrato 	 mathematics 
 второй 	 dua 	 adjective 
 выбор 	 elekto 	 abstract 
 выборы 	 elekto 	 mathematics 
 выбрать 	 elekti 	 verb 
 выиграть ; победить 	 gajni 	 verb 
 вымыть 	 lavi 	 verb 
 выработать 	 prilabori 	 verb 
 выравнить 	 niveli 	 verb 
 выразить 	 esprimi 	 verb 
 высокий 	 alta 	 adjective 
 высота 	 alteco 	 abstract 
 высоцхнуть 	 sekigi 	 verb 
 высушить 	 sekigi 	 verb 
 высчитать 	 kalkuli 	 verb 
 выход 	 oriento 	 logistics 
 выходных 	 semajnfino 	 time 
 газета 	 ĵurnalo 	 object 
 гайка 	 boltingo 	 object 
 галстук 	 kravato 	 clothes 
 гараж 	 garaĝo 	 transport 
 гвоздь 	 najlo 	 object 
 ген 	 geno 	 anatomy 
 генерал 	 generalo 	 profession 
 гитара 	 gitaro 	 object 
 главный 	 majxora 	 adjective 
 главный 	 ĉefa 	 adjective 
 гладкий 	 glata 	 adjective 
 глаз 	 okulo 	 anatomy 
 глотка ; зев ; горло 	 gorgxo 	 anatomy 
 глупый 	 stulta 	 adjective 
 глупый 	 stulta 	 adjective 
 глянцевать 	 poluri 	 verb 
 говорить 	 diri 	 verb 
 говорить 	 paroli 	 verb 
 год 	 jaro 	 time 
 гол 	 golo 	 sports 
 голова 	 kapo 	 anatomy 
 голодный 	 malsata 	 adjective 
 голос 	 vocxo 	 communication 
 голубой 	 blua 	 color 
 гольф 	 golfo 	 travelling 
 гон 	 seksardo 	 nature 
 гора 	 monto 	 nature 
 город 	 urbo 	 society 
 горький 	 amara 	 adjective 
 горячий 	 varma 	 adjective 
 гостиница ; отель 	 hotelo 	 city 
 гость 	 gasto 	 travelling 
 готовить 	 kuiri 	 verb 
 готовый ; приготовленный 	 preta 	 adjective 
 граница ; лимит 	 limito 	 mathematics 
 громкий 	 lauxta 	 adjective 
 грубый 	 kruda 	 adjective 
 грубый 	 kruda 	 adjective 
 грудная клетка ; грудь 	 brusto 	 anatomy 
 грудь 	 brusto 	 anatomy 
 группа 	 grupo 	 abstract 
 грустный 	 lamentinda 	 adjective 
 грязный 	 malpura 	 adjective 
 грязный 	 malpura 	 adjective 
 губа 	 lipo 	 anatomy 
 гуманный 	 homa 	 adjective 
 густой 	 viskoza 	 adjective 
 да 	 jes 	 abstract 
 давать 	 doni 	 verb 
 давать отпор ; противостоять 	 defii 	 verb 
 давление 	 premo 	 nature 
 даже 	 ecx 	 adverb 
 дальше 	 plue 	 adjective 
 далёкий 	 fora 	 adjective 
 данный ; установленный 	 fiksita 	 adjective 
 дата ; число 	 dato 	 time 
 два 	 du 	 number 
 двадцать 	 dudek 	 number 
 двенадцатый 	 dekdua 	 number 
 дверь ; створка 	 pordo 	 house 
 двигатель 	 motoro 	 device 
 двигать 	 movi 	 verb 
 движение 	 movado 	 physics 
 движение 	 movo 	 physics 
 девочка ; поклонница 	 koramikino 	 family 
 девушка ; девочка 	 frauxlino 	 family 
 девятый 	 naŭa 	 number 
 девять 	 naŭ 	 number 
 действие 	 funkciado 	 mathematics 
 действительно 	 vere 	 adverb 
 действительный 	 efektiva 	 adjective 
 действовать 	 agi 	 verb 
 декабрь 	 decembro 	 time 
 декорация 	 dekoro 	 object 
 делать 	 fari 	 verb 
 деликатный ; щекотливый 	 delikata 	 adjective 
 дело 	 ago 	 abstract 
 дело 	 aĵo 	 abstract 
 дело 	 laboro 	 abstract 
 дело ; труда ; работа 	 tasko 	 business 
 демократия ; республика 	 respubliko 	 society 
 день 	 tago 	 nature 
 день рождения 	 naskiĝtago 	 family 
 деньги 	 mono 	 business 
 деревня 	 vilagxo 	 society 
 деревня 	 vilaĝo 	 society 
 дерево 	 arbo 	 house 
 дерево 	 ligno 	 material 
 держать 	 teni 	 verb 
 десятый 	 deka 	 number 
 десять 	 dek 	 number 
 дешевый 	 malmultekosta 	 adjective 
 деятельность 	 ago 	 mathematics 
 диапазон 	 amplekso 	 abstract 
 директор 	 direktoro 	 profession 
 дискутировать 	 diskuti 	 verb 
 диспут ; прения ; беседа 	 diskuto 	 communication 
 дисциплина 	 disciplino 	 linguistics 
 длинный 	 longa 	 adjective 
 до 	 gxis 	 conjunction 
 довольно 	 suficxe 	 adverb 
 дождить ; идёт дождь 	 pluvi 	 verb 
 дождь 	 pluvo 	 nature 
 дождь 	 pluvo 	 nature 
 доказать 	 montri 	 verb 
 дом 	 domo 	 house 
 дом 	 domo 	 house 
 дополнение 	 aldono 	 abstract 
 дорога ; путь 	 vojo 	 transport 
 доставить 	 transporti 	 verb 
 достигать 	 atingi 	 verb 
 достичь 	 gajni 	 verb 
 доступный 	 havebla 	 adjective 
 досягаемость 	 atingodistanco 	 abstract 
 дочь 	 filino 	 family 
 драгоценность 	 juvelo 	 object 
