# Russian-French translations created from the Universal dictionary at 2011-08-27T09:42:49-06:00
# (c) Copyright 2011 by All free dictionaries project
# ALL FREE DICTIONARIES PROJECT DISCLAIMS ALL
# WARRANTIES WITH REGARD TO THESE TRANSLATIONS, INCLUDING ALL
# IMPLIED WARRANTIES OF MERCHANTABILITY AND FITNESS. IN NO
# EVENT SHALL ALL FREE DICTIONARIES PROJECT OR ANY OF ITS CONTRIBUTORS
# BE LIABLE FOR ANY SPECIAL, INDIRECT OR CONSEQUENTIAL DAMAGES
# OR ANY DAMAGES WHATSOEVER RESULTING FROM LOSS OF USE, DATA OR
# PROFITS, WHETHER IN AN ACTION OF CONTRACT, NEGLIGENCE
# OR OTHER ACTION, ARISING OUT OF OR IN CONNECTION
# WITH THE USE OR PERFORMANCE OF THESE TRANSLATIONS.
#
# In other words there may be incorrect translations.
# If you need to be sure never use these translations!
#
# French, German and Czech entries are added manually. The entries for
# remaining languages are added automatically. Entries for these languages
# are only experimental.
#
# You may not place this file on WWW, ftp and equivalent servers because
# this file gets outdated very quickly. You may not distribute this file
# with your dictionary applications without permission. You can contact
# authors of the Universal dictionary at: http://dicts.info/contact.php
#
# This file is for personal use only. You may not distribute this file.
#
# New version of this file can be created at: http://www.dicts.info/uddl.php
#

 povorod 	 anse 	 transport 
 poпробовать 	 goût 	 verb 
 tакже ; тоже 	 aussi 	 adverb 
 ''not used'' 	 la 	 article 
 Англия ; Великобритания 	 Britain 	 country 
 Германия 	 République fédérale d'Allemagne 	 country 
 Земля 	 Terre 	 nature 
 Индия 	 République de l'Inde 	 country 
 Испания 	 Royaume d'Espagne 	 country 
 Италия 	 Italie 	 country 
 США ; Соединенные Штаты Америки 	 États-Unis 	 country 
 Франция 	 République française 	 country 
 Чехия ; Чешская Республика 	 République tchèque 	 country 
 Япония 	 Japon 	 country 
 автобус 	 autocar 	 transport 
 автоматический 	 automatique 	 adjective 
 автомобиль ; машина 	 automobile 	 transport 
 авторитет 	 autorité 	 society 
 адрес 	 adresse 	 abstract 
 актриса 	 actrice 	 profession 
 актёр 	 comédien 	 profession 
 акция 	 action 	 business 
 альтернатива 	 alternative 	 abstract 
 английский язык 	 anglais 	 language 
 апельсин 	 orange 	 food 
 апрель 	 avril 	 time 
 аргумент 	 argument 	 communication 
 аргументировать 	 plaider 	 verb 
 арифмометр ; счётчик 	 calculateur 	 device 
 армия 	 armée 	 society 
 армия 	 armée 	 society 
 аспект 	 aspect 	 abstract 
 атаковать 	 attaquer 	 verb 
 аэродром ; аэропорт 	 aérodrome 	 city 
 баланц 	 équilibre 	 physics 
 банк 	 banque 	 city 
 банкнот ; кредитный билет 	 billet 	 business 
