# Russian-German translations created from the Universal dictionary at 2011-08-27T09:42:10-06:00
# (c) Copyright 2011 by All free dictionaries project
# ALL FREE DICTIONARIES PROJECT DISCLAIMS ALL
# WARRANTIES WITH REGARD TO THESE TRANSLATIONS, INCLUDING ALL
# IMPLIED WARRANTIES OF MERCHANTABILITY AND FITNESS. IN NO
# EVENT SHALL ALL FREE DICTIONARIES PROJECT OR ANY OF ITS CONTRIBUTORS
# BE LIABLE FOR ANY SPECIAL, INDIRECT OR CONSEQUENTIAL DAMAGES
# OR ANY DAMAGES WHATSOEVER RESULTING FROM LOSS OF USE, DATA OR
# PROFITS, WHETHER IN AN ACTION OF CONTRACT, NEGLIGENCE
# OR OTHER ACTION, ARISING OUT OF OR IN CONNECTION
# WITH THE USE OR PERFORMANCE OF THESE TRANSLATIONS.
#
# In other words there may be incorrect translations.
# If you need to be sure never use these translations!
#
# French, German and Czech entries are added manually. The entries for
# remaining languages are added automatically. Entries for these languages
# are only experimental.
#
# You may not place this file on WWW, ftp and equivalent servers because
# this file gets outdated very quickly. You may not distribute this file
# with your dictionary applications without permission. You can contact
# authors of the Universal dictionary at: http://dicts.info/contact.php
#
# This file is for personal use only. You may not distribute this file.
#
# New version of this file can be created at: http://www.dicts.info/uddl.php
#

 povorod 	 Kurve 	 transport 
 poпробовать 	 kosten ; schmecken ; verkosten 	 verb 
 tакже ; тоже 	 auch 	 adverb 
 ''not used'' 	 der ; die 	 article 
 Англия ; Великобритания 	 Britannien 	 country 
 Германия 	 Deutschland 	 country 
 Земля 	 Erde 	 nature 
 Индия 	 Indien 	 country 
 Испания 	 Spanien 	 country 
 Италия 	 Italien 	 country 
 США ; Соединенные Штаты Америки 	 Vereinigte Staaten 	 country 
 Франция 	 Frankreich 	 country 
 Чехия ; Чешская Республика 	 Tschechische Republik 	 country 
 Япония 	 Japan 	 country 
 автобус 	 Autobus ; Bus ; Omnibus 	 transport 
 автоматический 	 automatisch 	 adjective 
 автомобиль ; машина 	 Auto ; Kraftwagen ; Personenwagen ; Kraftfahrzeug ; Personenkraftwagen ; Pkw ; Automobil 	 transport 
 авторитет 	 Autorität ; Berechtigung ; Bevollmächtigung ; Ermächtigung 	 society 
 адрес 	 Adresse 	 abstract 
 актриса 	 Schauspielerin 	 profession 
 актёр 	 Akteur ; Schauspieler 	 profession 
 акция 	 Aktie 	 business 
 альтернатива 	 Alternative ; Mehrfachmöglichkeit 	 abstract 
 английский язык 	 Englisch 	 language 
 апельсин 	 Orange ; Apfelsine 	 food 
 апрель 	 April 	 time 
 аргумент 	 Argument 	 communication 
 аргументировать 	 argumentieren 	 verb 
 арифмометр ; счётчик 	 Rechner 	 device 
 армия 	 Armee 	 society 
 армия 	 Militär 	 society 
 аспект 	 Aspekt 	 abstract 
 атаковать 	 angreifen ; attackieren 	 verb 
 аэродром ; аэропорт 	 Flughafen ; Flugplatz 	 city 
 баланц 	 Gleichgewicht 	 physics 
 банк 	 Bank 	 city 
 банкнот ; кредитный билет 	 Banknote 	 business 
 бдительный 	 munter ; wach 	 adjective 
 бежать 	 rennen 	 verb 
 безобразный ; некрасивый 	 mies ; hässlich 	 adjective 
 безработный 	 arbeitslos 	 adjective 
 бейсбол 	 Baseball 	 sports 
 белый 	 weiß 	 adjective 
 берег 	 Ufer 	 nature 
 бесплатный 	 frei ; kostenlos ; umsonst 	 adjective 
 библиотека 	 Bücherei 	 city 
 бизнесмен 	 Geschäftsmann 	 profession 
 билет 	 Fahrkarte ; Fahrschein ; Karte 	 object 
 билет 	 Schein 	 object 
 биология 	 Biologie 	 science 
 бич 	 Peitsche 	 object 
 благодарить 	 danken 	 verb 
 близкий ; недалёкий 	 neben 	 adjective 
 блюдо ; еда 	 Essen ; Mahlzeit 	 food 
 блюдо ; питание 	 Essen ; Nahrungsmittel ; Nährstoff ; Speise ; essen ; nahrung 	 food 
 более ; болше 	 mehr 	 adjective 
 более ; болше 	 mehr 	 adverb 
 болезнь 	 Krankheit 	 medicine 
 боль 	 Schmerz 	 medicine 
 больница 	 Behandlungsraum ; Krankenhaus 	 city 
 больной 	 krank 	 adjective 
 большинство 	 Mehrheit 	 abstract 
 большой ; великий 	 groß 	 adjective 
